ASV	L_mellis	L_mellifer	L_kullabergensis	L_apis	L_melliventris	L_helsingborgensis	Bifidobacterium	Snodgrassella	Gilliamella	Bartonella	Frischella	Commensalibacter	Fructobacillus	L_kunkeei	Enterobacteriaceae	Other_lactobacillus	Moraxellaceae	Total_bact	Total_bact_qpcr_not_corrected	Firm4	Firm5	Bee	Group	Description	Hive	Week
1SE3-1	3838	0	13646	438367	0	257988	11087	82727	231123	15351	1222566	0	74625	16631	8041	0	0	2375990	9475209	3838	710001	1	1SE3	Control	1SE	0
1SE3-2	9552	0	24411	16982	20166	3779536	1373412	9552	2339258	118873	0	0	28657	0	291725	0	0	8012124	29939106	9552	3841095	2	1SE3	Control	1SE	0
1SE3-3	0	52422	725520	0	341791	5382686	591320	593416	306144	25163	2365278	0	159363	58713	1608006	0	0	12209822	52430338	52422	6449997	3	1SE3	Control	1SE	0
1SE3-4	9118	0	626507	983394	1375449	281342	2331490	13025	33865	0	1044612	0	41680	0	1504956	0	0	8245438	32833637	9118	3266692	4	1SE3	Control	1SE	0
1SE3-5	0	0	11015563	802500	68965	0	87773	366767	413789	56426	4630048	0	1341679	0	1268236	72100	0	20123846	83723298	0	11887028	5	1SE3	Control	1SE	0
1SE3-6	162614	55577	463141	2017236	1628198	78219	2564771	1533511	3182293	3227577	860413	0	121446	0	12939	771901	0	16679836	52085854	218191	4186794	6	1SE3	Control	1SE	0
1SE3-7	1887	0	4194	2097	3145	0	5452	1048	3355	2516	0	0	14468	0	753536	0	0	791698	5411462	1887	9436	7	1SE3	Control	1SE	0
1SE3-8	0	0	8594451	21438	107189	0	291555	32157	1558535	1251973	1946561	0	115765	21438	1076795	0	0	15017857	60214752	0	8723078	8	1SE3	Control	1SE	0
1SE3-9	22334	0	0	2564979	302369	2556389	1147626	32642	804025	549761	0	0	54976	0	3188614	0	0	11223715	51065923	22334	5423737	9	1SE3	Control	1SE	0
1SE3-10	0	0	62146	0	0	5452477	1105541	29437	5040353	0	0	9030768	160271	153729	1241047	0	0	22275769	90615137	0	5514623	10	1SE3	Control	1SE	0
1SE3-11	2882073	57355	1261803	1930941	3417383	1013266	5582523	9415727	7159777	267655	716934	0	95591	0	958643	0	0	34759671	130214253	2939428	7623393	11	1SE3	Control	1SE	0
1SE3-12	427279	64192	1989959	1342019	661982	335003	2334992	3723149	4162464	1797382	44132	0	78234	0	34389	108324	0	17103500	59819121	491471	4328963	12	1SE3	Control	1SE	0
1SE3-13	754519	60994	1317020	2297443	745483	298193	3325305	2426208	1551960	1256026	137801	0	15813	0	2761191	293675	0	17241631	66912737	815513	4658139	13	1SE3	Control	1SE	0
1SE3-14	120586	86420	595895	1009907	234138	25122	1370660	1241030	2898081	1601783	0	7034	18088	0	7465	180879	0	9397088	30942341	207006	1865062	14	1SE3	Control	1SE	0
1SE3-15	0	0	495	25124	343	0	914	0	127104	2208	0	0	74382	8793	57839	0	0	297202	1356077	0	25962	15	1SE3	Control	1SE	0
4SE3-1	988408	0	982269	3327437	423604	16698575	8717639	681449	3345854	9589403	1866311	61392	239428	0	221011	0	0	47142780	152620068	988408	21431885	16	4SE3	Control	4SE	0
4SE3-2	1265514	285922	1414691	1867193	681239	773232	4311201	3460895	1904487	775718	1019373	0	218792	0	11366	614110	0	18603733	61818744	1551436	4736355	17	4SE3	Control	4SE	0
4SE3-3	768133	0	341393	442259	395705	13252238	2932872	0	124143	0	9698652	18714519	155178	0	1680361	760374	0	49265827	193197152	768133	14431595	18	4SE3	Control	4SE	0
4SE3-4	3016897	0	4525345	978453	3332856	1246848	10137861	40769	132499	0	2283057	112114	13590	0	0	0	0	25820289	83005434	3016897	10083502	19	4SE3	Control	4SE	0
4SE3-5	198428	102485	1539456	2080228	436106	222414	2930635	4062332	2032256	226775	2492348	0	17444	0	0	122110	0	16463017	59048815	300913	4278204	20	4SE3	Control	4SE	0
4SE3-6	1724611	144351	1770195	15863382	395065	7992470	10195718	2970585	129156	0	6047535	11054225	288701	0	903006	0	0	59479000	220233582	1868962	26021112	21	4SE3	Control	4SE	0
4SE3-7	879773	173128	3095103	2119934	1787811	342723	6769655	2303661	5250369	6762589	247326	173128	21199	14133	98930	600648	0	30640110	93390148	1052901	7345571	22	4SE3	Control	4SE	0
4SE3-8	660303	279863	1591723	2785515	1626706	450405	4250425	6546179	4705203	2571245	2020264	0	17491	0	397306	1110708	0	29013336	100366000	940166	6454349	23	4SE3	Control	4SE	0
4SE3-9	0	0	0	2264	1677	0	875225	0	1090	1174	0	0	74808	1677	335	0	0	958250	2081217	0	3941	24	4SE3	Control	4SE	0
4SE3-10	830741	0	680192	1412985	538712	239428	2299956	2200194	3085351	4969936	126969	301098	215848	0	15547	0	0	16916957	53174686	830741	2871317	25	4SE3	Control	4SE	0
4SE3-11	2283983	449817	2400314	4094882	2144384	717380	7290131	5304734	2377048	62044	3024629	11633	352873	0	73123	655336	0	31242311	107862918	2733800	9356960	26	4SE3	Control	4SE	0
4SE3-12	773140	106307	1040518	3765838	231942	1027633	2963705	90200	5051184	2428950	0	3082898	0	0	125175	0	0	20687490	72340176	879447	6065931	27	4SE3	Control	4SE	0
4SE3-13	822241	340797	3026606	2802112	773556	722166	5074095	4779278	5450054	5587996	289407	54095	0	10819	23183	576110	0	30332515	97770998	1163038	7324440	28	4SE3	Control	4SE	0
4SE3-14	728214	184099	3534700	3452879	883675	859129	6267547	3313782	7102129	5596609	28638	12273	45002	0	11689	707758	0	32728123	104388212	912313	8730383	29	4SE3	Control	4SE	0
