ASV	L_mellis	L_mellifer	L_kullabergensis	L_apis	L_melliventris	L_helsigborgensis	Bifidobacterium	Snodgrassella	Gilliamella	Bartonella	Frischella	Commensalibacter	Fructobacillus	L_kunkeei	Enterobacteriaceae	Other_lactobacillus	Moraxellaceae	Total_reads	Bee	Group	Description	Hive	Week
1SE3-1	9	0	32	1028	0	605	13	194	542	18	2867	0	175	39	33	0	0	5555	1	1SE3	Control	1SE	0
1SE3-2	9	0	23	16	19	3561	647	9	2204	56	0	0	27	0	481	0	0	7052	2	1SE3	Control	1SE	0
1SE3-3	0	25	346	0	163	2567	141	283	146	6	1128	0	76	28	1342	0	0	6251	3	1SE3	Control	1SE	0
1SE3-4	7	0	481	755	1056	216	895	10	26	0	802	0	32	0	2022	0	0	6302	4	1SE3	Control	1SE	0
1SE3-5	0	0	3514	256	22	0	14	117	132	9	1477	0	428	0	708	23	0	6677	5	1SE3	Control	1SE	0
1SE3-6	79	27	225	980	791	38	623	745	1546	784	418	0	59	0	11	375	0	6326	6	1SE3	Control	1SE	0
1SE3-7	9	0	20	10	15	0	13	5	16	6	0	0	69	0	6289	0	0	6452	7	1SE3	Control	1SE	0
1SE3-8	0	0	4009	10	50	0	68	15	727	292	908	0	54	10	879	0	0	7022	8	1SE3	Control	1SE	0
1SE3-9	13	0	0	1493	176	1488	334	19	468	160	0	0	32	0	3248	0	0	7431	9	1SE3	Control	1SE	0
1SE3-10	0	0	19	0	0	1667	169	9	1541	0	0	2761	49	47	664	0	0	6926	10	1SE3	Control	1SE	0
1SE3-11	603	12	264	404	715	212	584	1970	1498	28	150	0	20	0	351	0	0	6811	11	1SE3	Control	1SE	0
1SE3-12	213	32	992	669	330	167	582	1856	2075	448	22	0	39	0	30	54	0	7455	12	1SE3	Control	1SE	0
1SE3-13	334	27	583	1017	330	132	736	1074	687	278	61	0	7	0	2139	130	0	7405	13	1SE3	Control	1SE	0
1SE3-14	120	86	593	1005	233	25	682	1235	2884	797	0	7	18	0	13	180	0	7698	14	1SE3	Control	1SE	0
1SE3-15	0	0	13	660	9	0	12	0	3339	29	0	0	1954	231	2659	0	0	8906	15	1SE3	Control	1SE	0
4SE3-1	161	0	160	542	69	2720	710	111	545	781	304	10	39	0	63	0	0	6215	16	4SE3	Control	4SE	0
4SE3-2	509	115	569	751	274	311	867	1392	766	156	410	0	88	0	8	247	0	6216	17	4SE3	Control	4SE	0
4SE3-3	99	0	44	57	51	1708	189	0	16	0	1250	2412	20	0	379	98	0	6225	18	4SE3	Control	4SE	0
4SE3-4	888	0	1332	288	981	367	1492	12	39	0	672	33	4	0	0	0	0	6108	19	4SE3	Control	4SE	0
4SE3-5	91	47	706	954	200	102	672	1863	932	52	1143	0	8	0	0	56	0	6770	20	4SE3	Control	4SE	0
4SE3-6	227	19	233	2088	52	1052	671	391	17	0	796	1455	38	0	208	0	0	7247	21	4SE3	Control	4SE	0
4SE3-7	249	49	876	600	506	97	958	652	1486	957	70	49	6	4	49	170	0	6608	22	4SE3	Control	4SE	0
4SE3-8	151	64	364	637	372	103	486	1497	1076	294	462	0	4	0	159	254	0	5738	23	4SE3	Control	4SE	0
4SE3-9	0	0	0	27	20	0	5218	0	13	7	0	0	892	20	7	0	0	6204	24	4SE3	Control	4SE	0
4SE3-10	458	0	375	779	297	132	634	1213	1701	1370	70	166	119	0	15	0	0	7329	25	4SE3	Control	4SE	0
4SE3-11	589	116	619	1056	553	185	940	1368	613	8	780	3	91	0	33	169	0	6954	26	4SE3	Control	4SE	0
4SE3-12	240	33	323	1169	72	319	460	28	1568	377	0	957	0	0	68	0	0	5614	27	4SE3	Control	4SE	0
4SE3-13	304	126	1119	1036	286	267	938	1767	2015	1033	107	20	0	4	15	213	0	9037	28	4SE3	Control	4SE	0
4SE3-14	178	45	864	844	216	210	766	810	1736	684	7	3	11	0	5	173	0	6379	29	4SE3	Control	4SE	0
4SE3-15	121	85	1122	726	298	239	687	955	931	530	1084	0	0	0	57	304	0	6835	30	4SE3	Control	4SE	0
5SE3-1	650	114	577	363	882	1759	901	6	2105	8	0	4	23	0	7	57	0	7399	31	5SE3	Control	5SE	0
5SE3-2	0	92	1950	0	1226	0	707	5	21	0	0	393	11	25	2809	584	0	7239	32	5SE3	Control	5SE	0
5SE3-3	371	75	244	788	504	371	748	606	1533	885	159	109	5	0	974	0	0	7372	33	5SE3	Control	5SE	0
5SE3-4	0	0	0	18	0	0	1598	0	15	0	1921	0	38	74	3120	0	0	6784	34	5SE3	Control	5SE	0
5SE3-5	525	110	560	807	299	350	823	1867	1415	512	22	0	12	0	60	234	0	7362	35	5SE3	Control	5SE	0
5SE3-6	829	26	433	518	656	30	650	762	1876	440	323	3	26	11	66	604	0	6701	36	5SE3	Control	5SE	0
5SE3-7	2440	749	0	85	15	0	528	12	16	17	3904	0	128	8	11	0	0	7913	37	5SE3	Control	5SE	0
5SE3-8	272	169	987	533	97	313	1184	1093	1281	0	294	0	10	0	86	389	0	6319	38	5SE3	Control	5SE	0
5SE3-9	6	0	17	7	0	0	4	0	16	7	0	5871	910	97	0	0	0	6935	39	5SE3	Control	5SE	0
5SE3-10	10	0	16	3451	0	0	882	11	2020	0	0	0	50	0	1637	0	0	8077	40	5SE3	Control	5SE	0
5SE3-11	0	0	439	1077	0	758	643	1724	309	41	1378	11	132	107	105	0	0	6724	41	5SE3	Control	5SE	0
5SE3-12	0	0	0	0	0	0	0	0	875	0	0	0	188	76	0	594	0	1139	42	5SE3	Control	5SE	0
5SE3-13	116	109	2985	128	13	29	484	74	1817	0	77	0	18	0	4	319	0	5854	43	5SE3	Control	5SE	0
5SE3-14	498	0	39	1884	0	71	784	3	440	0	444	1410	5	0	1192	0	0	6770	44	5SE3	Control	5SE	0
5SE3-15	15	0	0	44	39	26	13	10	21	0	8	34	177	31	7041	0	0	7459	45	5SE3	Control	5SE	0
8SE3-1	338	48	109	647	1221	24	981	472	1727	1560	362	11	14	0	115	127	0	7629	46	8SE3	Control	8SE	0
8SE3-2	304	47	739	1318	534	95	915	1746	2056	639	0	0	0	0	153	375	0	8546	47	8SE3	Control	8SE	0
8SE3-3	135	20	52	794	488	2179	781	601	1054	18	38	2169	18	0	60	174	0	8407	48	8SE3	Control	8SE	0
8SE3-4	0	3	0	4507	7	146	11	301	22	5	1227	5	26	10	1270	100	0	7540	49	8SE3	Control	8SE	0
8SE3-5	274	286	818	1509	522	478	1726	158	2114	124	9	4	0	0	194	831	0	8216	50	8SE3	Control	8SE	0
8SE3-6	211	44	264	781	1235	355	1362	502	2136	1593	0	9	5	0	24	215	0	8521	51	8SE3	Control	8SE	0
8SE3-7	373	96	510	508	519	623	1164	1095	1631	908	125	0	0	0	587	521	0	8343	52	8SE3	Control	8SE	0
8SE3-8	656	55	78	1059	481	495	1289	819	2052	740	9	0	0	0	8	524	0	7741	53	8SE3	Control	8SE	0
8SE3-9	428	26	520	612	321	359	873	319	1323	653	0	0	15	0	192	313	0	5641	54	8SE3	Control	8SE	0
8SE3-10	0	83	685	755	58	1184	1072	929	1483	91	0	25	8	0	0	678	0	6480	55	8SE3	Control	8SE	0
8SE3-11	200	126	330	323	147	877	923	1832	419	0	18	0	0	8	1393	0	0	6596	56	8SE3	Control	8SE	0
8SE3-12	471	114	571	484	584	410	754	754	1016	345	37	178	0	0	93	483	0	5811	57	8SE3	Control	8SE	0
8SE3-13	223	120	432	323	386	45	1011	1859	1025	496	266	0	0	0	0	143	0	6186	58	8SE3	Control	8SE	0
8SE3-14	1317	371	1418	673	157	273	919	542	1491	3	0	0	0	0	403	489	0	7567	59	8SE3	Control	8SE	0
8SE3-15	149	28	861	286	77	43	628	1014	1567	365	0	0	10	0	30	0	0	5058	60	8SE3	Control	8SE	0
30BW3-1	114	155	647	492	494	75	657	668	1194	616	0	0	0	3	88	1606	0	5203	61	30BW3	Control	30BW	0
30BW3-2	2132	23	1110	519	267	188	1232	962	2163	42	95	0	3	7	149	0	0	8892	62	30BW3	Control	30BW	0
30BW3-3	0	11	559	915	801	116	808	805	1383	614	0	0	51	8	19	1637	0	6275	63	30BW3	Control	30BW	0
30BW3-4	544	35	357	1151	423	365	439	1626	1312	557	0	0	8	0	13	597	0	6830	64	30BW3	Control	30BW	0
30BW3-5	146	15	1504	1177	185	25	513	1447	1710	809	0	0	7	8	5	493	0	7551	65	30BW3	Control	30BW	0
30BW3-6	1375	105	731	663	356	357	1432	1224	1545	515	318	0	5	3	19	47	0	8648	66	30BW3	Control	30BW	0
30BW3-7	990	3	666	698	539	26	939	391	1938	1248	4	0	273	5	0	341	0	7720	67	30BW3	Control	30BW	0
30BW3-8	642	32	546	324	1105	578	754	181	994	1117	6	0	38	6	1404	0	0	7727	68	30BW3	Control	30BW	0
30BW3-9	0	0	1347	581	440	0	1338	261	2854	0	49	0	61	56	409	0	0	7396	69	30BW3	Control	30BW	0
30BW3-10	477	13	309	625	334	394	202	1475	1043	27	640	0	16	6	117	177	0	5678	70	30BW3	Control	30BW	0
30BW3-11	520	25	871	1598	242	0	455	294	1569	0	508	0	0	0	509	0	0	6591	71	30BW3	Control	30BW	0
30BW3-12	1294	25	739	1108	374	486	643	331	1541	1106	0	0	125	7	42	124	0	7945	72	30BW3	Control	30BW	0
30BW3-13	931	107	569	788	461	378	439	1164	705	436	1077	0	10	0	4	0	0	7069	73	30BW3	Control	30BW	0
30BW3-14	13	0	0	0	0	30	0	16	25	0	15	0	6297	1380	13	0	0	7789	74	30BW3	Control	30BW	0
30BW3-15	513	82	157	180	239	52	617	842	202	133	101	4	0	0	2050	54	0	5226	75	30BW3	Control	30BW	0
9SE3-1	226	5	169	617	1376	68	520	535	1474	106	54	3	20	0	504	0	0	5677	76	9SE3	Treatment	9SE	0
9SE3-2	267	0	0	0	67	2360	3	32	1622	6	0	0	13	0	1532	0	0	5902	77	9SE3	Treatment	9SE	0
9SE3-3	59	133	412	369	697	406	558	1926	871	368	664	0	4	4	7	99	0	6478	78	9SE3	Treatment	9SE	0
9SE3-4	0	16	741	1074	166	151	303	1066	1694	330	270	0	0	0	7	117	0	5818	79	9SE3	Treatment	9SE	0
9SE3-5	136	10	269	188	0	1346	631	6	2011	0	0	0	8	0	895	56	0	5500	80	9SE3	Treatment	9SE	0
9SE3-6	0	0	67	3687	149	741	7	211	21	0	540	0	13	0	1305	98	0	6741	81	9SE3	Treatment	9SE	0
9SE3-7	362	16	517	489	2113	58	719	11	20	15	776	3	211	4	885	860	0	6199	82	9SE3	Treatment	9SE	0
9SE3-8	73	40	663	691	168	35	203	271	523	0	5	76	6	0	2339	86	0	5093	83	9SE3	Treatment	9SE	0
9SE3-9	0	114	540	343	711	910	1079	862	901	1169	11	0	24	15	0	511	0	6679	84	9SE3	Treatment	9SE	0
9SE3-10	0	17	541	1329	228	61	345	1902	1362	691	0	0	0	0	9	145	0	6485	85	9SE3	Treatment	9SE	0
9SE3-11	61	33	477	1785	103	295	418	733	1593	505	0	2	0	0	227	184	0	6232	86	9SE3	Treatment	9SE	0
9SE3-12	97	18	479	823	241	110	419	492	2102	1506	0	0	14	0	8	66	0	6309	87	9SE3	Treatment	9SE	0
9SE3-13	724	35	575	329	368	284	871	356	2049	585	0	0	2	0	27	327	0	6387	88	9SE3	Treatment	9SE	0
9SE3-14	361	23	385	583	573	98	589	730	1266	751	504	0	20	0	366	0	0	6249	89	9SE3	Treatment	9SE	0
9SE3-15	0	46	188	901	339	80	486	1654	708	6	372	41	26	0	1621	467	0	6577	90	9SE3	Treatment	9SE	0
10SE3-1	0	0	0	21	0	2650	237	5	18	0	465	4	174	10	3814	325	0	7398	91	10SE3	Treatment	10SE	0
10SE3-2	643	90	576	1425	394	179	797	1842	1426	649	617	0	39	0	48	0	0	8725	92	10SE3	Treatment	10SE	0
10SE3-3	457	85	654	849	690	55	730	634	1921	1349	0	0	15	0	82	0	0	7521	93	10SE3	Treatment	10SE	0
10SE3-4	507	65	421	529	413	82	965	1774	1433	780	349	0	0	0	50	100	0	7368	94	10SE3	Treatment	10SE	0
10SE3-5	135	93	265	691	880	207	813	973	1750	1536	230	0	136	5	457	127	0	8171	95	10SE3	Treatment	10SE	0
10SE3-6	685	53	698	885	266	434	669	2747	1248	0	523	0	0	0	97	0	0	8305	96	10SE3	Treatment	10SE	0
10SE3-7	121	0	577	374	962	0	445	411	1195	21	592	1776	83	0	78	358	0	6635	97	10SE3	Treatment	10SE	0
10SE3-8	16	0	39	2426	25	50	0	115	5618	13	6	4	12	32	5139	0	0	13495	98	10SE3	Treatment	10SE	0
10SE3-9	429	45	236	1142	309	75	711	1410	1292	12	306	0	3	0	1052	189	0	7022	99	10SE3	Treatment	10SE	0
10SE3-10	708	130	612	705	466	85	758	402	1047	1391	211	121	26	18	10	0	0	6690	100	10SE3	Treatment	10SE	0
10SE3-11	9	0	0	2525	0	2418	426	10	904	0	254	0	75	0	19	0	0	6640	101	10SE3	Treatment	10SE	0
10SE3-12	0	56	427	6362	0	0	41	128	18	9	0	0	223	0	5	62	0	7299	102	10SE3	Treatment	10SE	0
10SE3-13	0	0	0	15	13	0	5	10	3165	0	50	0	630	11	3239	9	0	7138	103	10SE3	Treatment	10SE	0
10SE3-14	1338	41	115	658	537	81	866	1093	1830	303	0	0	14	0	377	207	0	7460	104	10SE3	Treatment	10SE	0
10SE3-15	151	43	621	723	251	149	581	1193	2117	888	10	15	0	0	66	101	0	6808	105	10SE3	Treatment	10SE	0
26BW3-1	2095	185	0	1105	17	1029	805	202	912	6	1057	0	6	0	1006	0	0	8425	106	26BW3	Treatment	26BW	0
26BW3-2	368	11	375	3332	236	1102	251	377	1058	5	1160	0	154	11	15	154	0	8455	107	26BW3	Treatment	26BW	0
26BW3-3	386	74	1098	1541	108	1144	1358	136	2115	7	19	0	63	9	1000	271	0	9058	108	26BW3	Treatment	26BW	0
26BW3-4	829	75	1124	237	782	476	1498	403	636	1423	219	0	14	4	0	0	0	7720	109	26BW3	Treatment	26BW	0
26BW3-5	686	0	48	27	24	2289	1089	14	2742	33	11	64	37	0	261	1694	0	7325	110	26BW3	Treatment	26BW	0
26BW3-6	0	76	1287	2523	315	588	1469	441	80	7	1643	0	12	0	24	429	0	8465	111	26BW3	Treatment	26BW	0
26BW3-7	2059	32	1335	411	582	273	735	1250	1774	599	14	0	2	0	63	0	0	9129	112	26BW3	Treatment	26BW	0
26BW3-8	190	62	816	561	533	296	872	1180	927	1816	6	0	15	3	4	664	0	7433	113	26BW3	Treatment	26BW	0
26BW3-9	486	0	1182	1472	261	483	904	142	341	209	504	372	47	16	0	197	0	6419	114	26BW3	Treatment	26BW	0
26BW3-10	921	27	3104	3436	0	0	0	4	14	0	0	0	324	7	3	243	0	7840	115	26BW3	Treatment	26BW	0
26BW3-11	1225	104	825	546	509	66	1432	516	1377	1000	5	7	28	0	229	0	0	7869	116	26BW3	Treatment	26BW	0
26BW3-12	1490	103	568	1026	88	176	1161	257	1314	6	464	0	23	0	80	266	0	7022	117	26BW3	Treatment	26BW	0
26BW3-13	494	183	448	574	410	406	1055	936	921	1245	36	11	4	0	0	149	0	6723	118	26BW3	Treatment	26BW	0
26BW3-14	0	33	151	2315	384	0	976	2212	1593	123	0	0	63	8	0	244	0	7858	119	26BW3	Treatment	26BW	0
26BW3-15	472	81	686	501	421	128	925	1457	1080	0	0	0	0	0	0	255	0	5751	120	26BW3	Treatment	26BW	0
27BW3-1	1171	40	355	335	719	680	931	236	980	1031	235	0	2	0	164	0	0	6879	121	27BW3	Treatment	27BW	0
27BW3-2	1319	47	951	579	438	83	1047	1097	1498	795	501	0	3	0	10	0	0	8368	122	27BW3	Treatment	27BW	0
27BW3-3	758	73	1335	1634	162	1433	6	6	12	0	1769	0	15	0	0	81	0	7203	123	27BW3	Treatment	27BW	0
27BW3-4	1009	19	1014	152	296	257	871	257	1048	1130	341	0	7	0	21	219	0	6422	124	27BW3	Treatment	27BW	0
27BW3-5	454	81	623	1401	281	893	506	0	354	0	573	11	9	0	56	151	0	5242	125	27BW3	Treatment	27BW	0
27BW3-6	269	14	2539	202	0	843	663	28	984	0	106	132	15	0	1167	0	0	6962	126	27BW3	Treatment	27BW	0
27BW3-7	1478	35	547	685	303	286	611	505	1105	212	97	0	4	0	34	0	0	5902	127	27BW3	Treatment	27BW	0
27BW3-8	823	0	194	1755	9	1674	655	0	1044	0	129	941	30	6	611	0	0	7871	128	27BW3	Treatment	27BW	0
27BW3-9	0	0	0	1783	0	2066	1310	0	1381	24	0	0	24	8	2	196	0	6598	129	27BW3	Treatment	27BW	0
27BW3-10	295	81	689	548	141	149	611	482	435	131	0	0	0	0	2497	242	0	6059	130	27BW3	Treatment	27BW	0
