ASV	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Bartonella	Frischella	Commensalibacter	Enterobacteriaceae	L_kunkeei	Fructobacillus	Total_bact	Total_bact_qpcr_not_corrected	Firm4	Firm5	Other_bact	Bee	Description	Hive	Week
1-W0-C-S-1	0	758748	6021034	0	452801	2239531	2741284	2704570	2068201	0	807700	0	2041977	1774492	0	21610338	87084707	758748	8713366	3816469	1	Control	1	0
1-W0-C-S-2	0	1280865	3484876	0	2342483	3450258	4638809	4096461	5481180	784674	669281	80775	243974	1303944	0	27857580	101315283	1280865	9277617	1547918	2	Control	2	0
1-W0-C-S-3	162242	0	6489678	2085968	5099032	4496420	7231355	6373791	5979774	1158871	1390645	0	1231714	3013065	324484	45037039	167062846	162242	18171098	4569263	3	Control	3	0
1-W0-C-S-4	0	1595257	4760845	0	2492589	3003570	6455806	4499123	3028496	1071813	635610	0	156677	1021962	87241	28808989	100650747	1595257	10257004	1265880	4	Control	4	0
1-W0-C-S-5	428910	2189698	7991270	1219007	4582564	6185333	11196808	2528311	7878399	3070092	1828511	45148	593379	1557620	0	51295050	178426547	2618608	19978174	2150999	5	Control	5	0
1-W0-R0-001-S-1	0	1778573	5062091	2325826	2759068	7615939	10443414	6019784	8300006	592858	478846	0	403925	2827474	342033	48949837	174938578	1778573	17762924	3573432	6	0.001R-Syrup	6	0
1-W0-R0-001-S-2	172785	4129565	5494567	1987029	3524817	4475135	7118748	6634949	3334753	1451395	1987029	0	809622	397406	0	41517800	151359779	4302350	15481548	1207028	7	0.001R-Syrup	7	0
1-W0-R0-001-S-3	302374	0	4047159	0	3930861	3605228	8280395	1790984	4349533	2232915	534969	186076	664558	3302854	232595	33460501	114809067	302374	11583248	4200007	8	0.001R-Syrup	8	0
1-W0-R0-001-S-4	145833	3986111	9090279	656250	5104167	3062500	5930556	2843750	7607640	0	3621528	0	458333	0	0	42506947	159541680	4131944	17913196	458333	9	0.001R-Syrup	9	0
1-W0-R0-001-S-5	14192	0	544009	390267	274370	976851	823109	645715	1154245	37844	130089	18922	51360	177394	9461	5247828	19423485	14192	2185497	238215	10	0.001R-Syrup	10	0
1-W0-R0-1-S-1	152869	0	4254843	1477730	2700679	6930044	6471438	4458668	4458668	866256	1426774	0	0	3974584	331215	37503768	135339689	152869	15363296	4305799	11	0.1R-Syrup	11	0
1-W0-R0-1-S-2	0	966801	3509620	1218434	2052797	5045906	3390425	5178345	6489486	715168	582729	0	507050	119195	410559	30186515	114056024	966801	11826757	1036804	12	0.1R-Syrup	12	0
1-W0-R0-1-S-3	0	413394	2658878	864370	779812	845580	1296555	3701760	4387619	244279	1437485	0	80531	0	84558	16794821	64339215	413394	5148640	165089	13	0.1R-Syrup	13	0
1-W0-R0-1-S-4	26245	136473	2131076	939563	640373	1254500	335933	3495805	2587735	0	587883	530145	110978	0	0	12776709	50767903	162718	4965512	110978	14	0.1R-Syrup	14	0
1-W1-C-S-1	0	3651567	7947527	0	4217852	2304197	7107862	7478877	8728611	0	1581695	0	267800	3514877	0	46800865	173791140	3651567	14469576	3782677	15	Control	1	1
1-W1-C-S-2	244469	0	2804203	1912610	1682522	4759955	6384955	2200221	4946902	402655	330752	0	147914	1495575	0	27312733	96119452	244469	11159290	1643489	16	Control	2	1
1-W1-C-S-3	424139	2027593	3920702	3279321	4624153	5431052	10096585	1975868	6020709	2131041	1231038	0	153695	2534491	237932	44088319	152359116	2451732	17255228	2926118	17	Control	3	1
1-W1-C-S-4	456755	3143546	6475167	2847999	8947016	14804221	20527087	4271998	5749734	4298866	752302	0	0	4621281	0	76895972	257931983	3600301	33074403	4621281	18	Control	4	1
1-W1-C-S-5	245592	1218135	3693700	579597	2730981	5638787	6169265	1090427	6915864	2102266	1522669	0	190860	1169017	0	33267160	117098159	1463727	12643065	1359877	19	Control	5	1
1-W1-R0-001-S-1	0	1416369	8026091	2813853	4324647	6118714	16580960	8762603	11198758	2719429	2549464	0	561152	2209536	755397	68036973	235230572	1416369	21283305	3526085	20	0.001R-Syrup	6	1
1-W1-R0-001-S-2	0	1333786	2875293	1279123	1683632	3006485	5947374	1519641	4613588	2317727	710624	0	181170	1027671	0	26496114	89997758	1333786	8844533	1208841	21	0.001R-Syrup	7	1
1-W1-R0-001-S-3	716075	3088073	6847465	6534183	8906180	10853009	14903307	1857319	5325806	6176145	738452	0	358037	2774790	0	69078841	235230572	3804148	33140837	3132827	22	0.001R-Syrup	8	1
1-W1-R0-001-S-4	434013	4912235	8265969	1617684	5977539	6865292	14125141	4261216	13197932	0	1992513	0	1116033	4636045	0	67401612	244704255	5346248	22726484	5752078	23	0.001R-Syrup	9	1
1-W1-R0-001-S-5	354647	1644271	3449745	1918316	3901114	11687221	10155792	2095640	6190197	2031158	1273504	193444	184232	2095640	0	47174921	164878473	1998918	20956396	2279872	24	0.001R-Syrup	10	1
1-W1-R0-1-S-1	619982	2132739	6026228	2603926	6894204	11482073	17260309	3843891	8778950	4116683	2256736	0	595183	2727922	99197	69438023	236783658	2752721	27006431	3422302	26	0.1R-Syrup	11	1
1-W1-R0-1-S-2	366416	3143467	2777051	3683449	4300572	13788829	9372547	0	6364075	1851367	1369240	0	242441	0	212136	47471590	168165861	3509883	24549901	454577	27	0.1R-Syrup	12	1
1-W1-R0-1-S-3	292924	832520	3376331	3838842	2805901	5241793	7431012	909605	4316770	1048359	1973381	0	167385	1541704	0	33776527	118649520	1125444	15262867	1709089	28	0.1R-Syrup	13	1
1-W1-R0-1-S-4	0	0	8433818	3084743	5381892	2215108	4167684	1378289	2822211	2198700	1148574	1329065	262531	1509555	114857	34047027	124242935	0	19115561	1886943	29	0.1R-Syrup	14	1
1-W3-C-S-1	79154	589255	2541713	0	1565484	2295457	2286662	5215349	2867123	0	2392201	0	256307	1653433	0	21742138	83164155	668409	6402654	1909740	30	Control	1	3
