ASV	L_mellis	L_mellifer	L_apis	L_melliventris	L_kullabergensis	L_helsingborgensis	Bifidobacterium	Snodgrassella	Gilliamella	Bartonella	Frischella	Commensalibacter	Enterobacteriaceae	L_kunkeei	Fructobacillus	Total_reads	Bee	Description	Hive	Week
1-W0-C-S-1	62	0	492	183	37	0	112	221	169	0	66	0	292	145	0	1779	1	Control	1	0
1-W0-C-S-2	111	0	302	299	203	0	201	355	475	34	58	7	37	113	0	2195	2	Control	2	0
1-W0-C-S-3	0	7	280	194	220	90	156	275	258	25	60	0	93	130	14	1802	3	Control	3	0
1-W0-C-S-4	128	0	382	241	200	0	259	361	243	43	51	0	22	82	7	2019	4	Control	4	0
1-W0-C-S-5	97	19	354	274	203	54	248	112	349	68	81	2	46	69	0	1976	5	Control	5	0
1-W0-R0-001-S-1	78	0	222	334	121	102	229	264	364	13	21	0	31	124	15	1918	6	0.001R-Syrup	6	0
1-W0-R0-001-S-2	239	10	318	259	204	115	206	384	193	42	115	0	82	23	0	2190	7	0.001R-Syrup	7	0
1-W0-R0-001-S-3	0	13	174	155	169	0	178	77	187	48	23	8	50	142	10	1234	8	0.001R-Syrup	8	0
1-W0-R0-001-S-4	164	6	374	126	210	27	122	117	313	0	149	0	33	0	0	1641	9	0.001R-Syrup	9	0
1-W0-R0-001-S-5	0	6	230	413	116	165	174	273	488	8	55	8	38	75	4	2053	10	0.001R-Syrup	10	0
1-W0-R0-1-S-1	0	6	167	272	106	58	127	175	175	17	56	0	0	156	13	1328	11	0.1R-Syrup	11	0
1-W0-R0-1-S-2	73	0	265	381	155	92	128	391	490	27	44	0	67	9	31	2153	12	0.1R-Syrup	12	0
1-W0-R0-1-S-3	44	0	283	90	83	92	69	394	467	13	153	0	15	0	9	1712	13	0.1R-Syrup	13	0
1-W0-R0-1-S-4	26	5	406	239	122	179	32	666	493	0	112	101	37	0	0	2418	14	0.1R-Syrup	14	0
1-W1-C-S-1	187	0	407	118	216	0	182	383	447	0	81	0	24	180	0	2225	15	Control	1	1
1-W1-C-S-2	0	17	195	331	117	133	222	153	344	14	23	0	18	104	0	1671	16	Control	2	1
1-W1-C-S-3	196	41	379	525	447	317	488	191	582	103	119	0	26	245	23	3682	17	Control	3	1
1-W1-C-S-4	117	17	241	551	333	106	382	159	214	80	28	0	0	172	0	2400	18	Control	4	1
1-W1-C-S-5	124	25	376	574	278	59	314	111	704	107	155	0	34	119	0	2980	19	Control	5	1
1-W1-R0-001-S-1	75	0	425	324	229	149	439	464	593	72	135	0	52	117	40	3114	20	0.001R-Syrup	6	1
1-W1-R0-001-S-2	122	0	263	275	154	117	272	139	422	106	65	0	29	94	0	2058	21	0.001R-Syrup	7	1
1-W1-R0-001-S-3	138	32	306	485	398	292	333	83	238	138	33	0	28	124	0	2628	22	0.001R-Syrup	8	1
1-W1-R0-001-S-4	249	22	419	348	303	82	358	216	669	0	101	0	99	235	0	3101	23	0.001R-Syrup	9	1
1-W1-R0-001-S-5	102	22	214	725	242	119	315	130	384	63	79	12	20	130	0	2557	24	0.001R-Syrup	10	1
1-W1-R0-1-S-1	86	25	243	463	278	105	348	155	354	83	91	0	42	110	4	2387	26	0.1R-Syrup	11	1
1-W1-R0-1-S-2	163	19	144	715	223	191	243	0	330	48	71	0	22	0	11	2180	27	0.1R-Syrup	12	1
1-W1-R0-1-S-3	54	19	219	340	182	249	241	59	280	34	128	0	19	100	0	1924	28	0.1R-Syrup	13	1
1-W1-R0-1-S-4	0	0	514	135	328	188	127	84	172	67	70	81	28	92	7	1893	29	0.1R-Syrup	14	1
1-W3-C-S-1	67	9	289	261	178	0	130	593	326	0	272	0	51	188	0	2364	30	Control	1	3
1-W3-C-S-2	0	8	191	253	54	113	223	345	867	307	106	21	16	81	0	2585	31	Control	2	3
1-W3-C-S-3	141	19	130	266	88	76	171	70	248	53	0	0	5	0	0	1267	32	Control	3	3
1-W3-C-S-4	96	0	170	200	91	0	174	274	541	206	69	0	0	0	0	1821	34	Control	4	3
1-W3-C-S-5	93	0	286	347	129	95	273	181	592	237	77	0	0	86	0	2396	35	Control	5	3
1-W3-R0-001-S-1	120	18	274	423	111	110	389	410	492	87	56	0	11	97	18	2616	36	0.001R-Syrup	6	3
1-W3-R0-001-S-2	44	14	274	245	182	71	330	135	550	441	154	36	10	85	0	2571	37	0.001R-Syrup	7	3
1-W3-R0-001-S-3	46	17	194	327	220	109	288	160	270	153	31	0	18	148	0	1981	38	0.001R-Syrup	8	3
1-W3-R0-001-S-4	121	26	273	196	158	86	338	130	468	45	123	2	111	108	0	2185	39	0.001R-Syrup	9	3
1-W3-R0-001-S-5	161	26	145	397	199	127	307	77	335	156	60	8	25	53	0	2076	40	0.001R-Syrup	10	3
1-W3-R0-1-S-1	126	17	413	376	170	99	282	67	795	423	155	15	53	0	0	2991	41	0.1R-Syrup	11	3
1-W3-R0-1-S-2	77	30	436	465	152	82	302	0	460	379	45	12	66	103	0	2609	42	0.1R-Syrup	12	3
1-W3-R0-1-S-3	0	15	214	333	81	78	279	0	517	176	86	0	38	113	0	1930	43	0.1R-Syrup	13	3
1-W4-C-S-1	41	7	214	184	137	77	88	277	348	0	144	0	0	89	0	1606	44	Control	1	4
1-W4-C-S-2	0	18	208	236	69	95	247	205	433	112	20	0	0	167	3	1813	45	Control	2	4
1-W4-C-S-3	133	21	277	376	168	0	313	210	349	132	64	0	3	89	0	2135	46	Control	3	4
1-W4-C-S-4	0	17	323	443	101	0	348	197	529	206	58	0	0	175	17	2414	47	Control	4	4
1-W4-C-S-5	82	25	318	333	122	80	377	207	547	216	52	7	11	92	0	2469	48	Control	5	4
1-W4-R0-001-S-1	78	0	208	248	125	75	161	396	557	26	67	0	7	88	0	2036	49	0.001R-Syrup	6	4
1-W4-R0-001-S-2	0	12	124	380	81	73	207	85	177	202	37	17	0	137	0	1532	50	0.001R-Syrup	7	4
1-W4-R0-001-S-3	137	24	254	372	117	75	307	190	575	62	46	5	0	211	9	2384	51	0.001R-Syrup	8	4
1-W4-R0-001-S-4	206	28	382	270	353	79	325	203	632	0	153	0	84	191	0	2906	52	0.001R-Syrup	9	4
1-W4-R0-001-S-5	100	30	268	371	145	127	242	252	376	108	113	0	101	168	0	2401	53	0.001R-Syrup	10	4
1-W4-R0-1-S-1	93	23	172	490	112	81	332	0	192	304	61	7	10	102	0	1979	54	0.1R-Syrup	11	4
1-W4-R0-1-S-2	0	22	268	557	136	95	313	126	525	227	232	17	0	142	0	2660	55	0.1R-Syrup	12	4
1-W4-R0-1-S-3	152	35	315	491	114	177	484	32	351	332	99	4	18	101	0	2705	56	0.1R-Syrup	13	4
1-W7-C-S-1	0	0	289	84	192	0	47	389	564	29	140	0	0	85	0	1819	57	Control	1	7
1-W7-C-S-2	77	10	155	231	188	94	100	397	616	21	44	0	0	170	0	2103	58	Control	2	7
1-W7-C-S-3	78	9	106	262	90	36	154	184	351	6	77	0	0	121	20	1494	59	Control	3	7
1-W7-R0-001-S-1	0	13	136	195	178	65	154	219	553	11	154	0	2	274	13	1967	60	0.001R-Syrup	6	7
1-W7-R0-001-S-2	118	23	151	305	89	63	199	329	594	15	78	0	0	274	74	2312	61	0.001R-Syrup	7	7
1-W7-R0-001-S-3	76	13	238	220	102	119	229	217	569	31	130	8	8	247	28	2235	62	0.001R-Syrup	8	7
1-W7-R0-001-S-4	0	8	203	171	101	0	92	98	580	11	110	0	0	173	0	1547	63	0.001R-Syrup	9	7
1-W7-R0-001-S-5	182	19	85	296	142	58	131	99	439	11	81	0	0	117	5	1665	64	0.001R-Syrup	10	7
1-W7-R0-1-S-1	0	10	121	274	151	0	96	69	425	37	53	0	0	115	0	1351	65	0.1R-Syrup	11	7
1-W7-R0-1-S-2	224	15	191	449	243	83	173	140	442	67	312	0	0	0	0	2339	66	0.1R-Syrup	12	7
1-W7-R0-1-S-3	111	8	268	378	210	156	173	87	719	21	100	0	0	146	13	2390	67	0.1R-Syrup	13	7
