ASV	L_mellis	L_mellifer	L_apis	L_kullabergensis	L_melliventris	L_helsingborgensis	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Commensalibacter	Fructobacillus	L_kunkeei	Bombella	Enterobacteriaceae	Total_bact	Total_bact_qpcr_not_corrected	Firm4	Firm5	Other_bact	Bee	Description	Hive	Week
2-W0-C-S-1	3551150	645664	12590441	7747963	8501238	8501238	23781943	9146901	9631149	1775575	1398938	0	0	4089203	0	368951	91730354	317666501	4196814	37340880	4458154	1	Control	1	0
2-W0-C-S-2	548143	152848	1401981	1649699	1644429	1154263	3246693	1059392	1560099	0	316236	0	0	432190	0	90353	13256326	46170500	700991	5850372	522543	2	Control	2	0
2-W0-C-S-3	12651	0	592086	113863	70848	134105	0	2267133	698358	569313	177120	341588	0	0	0	370144	5347209	22145029	12651	910902	370144	3	Control	3	0
2-W0-C-S-4	1138676	83318	2799476	827623	1621919	1349748	4843538	2455096	3582663	794296	955377	61100	61100	55545	0	38088	20667563	71186685	1221994	6598766	154733	4	Control	4	0
2-W0-C-S-5	0	30147	558878	329297	257409	99717	1103842	983254	2344505	248133	1331104	0	0	294513	0	18552	7599351	25583168	30147	1245301	313065	5	Control	5	0
2-W0-C-S-6	391722	0	2491179	607390	1210378	1122351	3124977	783445	2442764	470947	202463	0	96830	611791	0	201206	13757443	48978514	391722	5431298	909827	6	Control	6	0
2-W0-R0-001-S-1	1466112	68368	1625637	1602847	3661481	364629	3160116	957151	4747771	736854	1033115	15193	0	1367358	0	26045	20832677	75022372	1534480	7254594	1393403	7	0.001R-Syrup	7	0
2-W0-R0-001-S-2	611314	0	1986769	1057063	1082534	0	2891004	1725687	3107510	477589	687728	95518	63678	528531	0	72775	14387700	50611665	611314	4126366	664984	8	0.001R-Syrup	8	0
2-W0-R0-001-S-3	282765	0	667035	250138	340768	253763	899047	982426	1816220	398771	398771	0	0	0	0	58003	6347707	22969197	282765	1511704	58003	9	0.001R-Syrup	9	0
2-W0-R0-001-S-4	1202736	48595	1955965	1798030	3012915	2296133	4397885	2053156	3802591	242977	1627946	0	0	72893	0	152728	22664550	79064734	1251331	9063043	225621	10	0.001R-Syrup	10	0
2-W0-R0-001-W-1	462738	49227	999317	403665	615343	182141	1732806	1225763	2815809	374128	3623139	24614	49227	0	0	101268	12659185	40228656	511965	2200466	150495	11	0.001R-Water	11	0
2-W0-R0-001-W-2	0	216844	17651081	11210822	5919834	4358559	1604644	4488666	2125069	0	260212	1496222	0	1387800	0	0	50719753	199149298	216844	39140296	1387800	12	0.001R-Water	12	0
2-W0-R0-001-W-3	263604	70970	2225428	1125387	1495447	897268	4420440	2113903	2620834	1257189	121663	0	136871	785743	0	196979	17731726	62433648	334574	5743530	1119593	13	0.001R-Water	13	0
2-W0-R0-001-W-4	0	220384	3326746	3662569	5688001	1595159	7660961	6705965	2371750	1049447	524723	0	41978	1721093	0	0	34568776	121903732	220384	14272475	1763071	14	0.001R-Water	14	0
2-W0-R0-1-S-1	0	0	571252	171789	117976	0	476043	1653733	1722034	324951	153162	12419	0	95209	0	114723	5413291	20738925	0	861017	209932	15	0.1R-Syrup	15	0
