ASV	L_mellis	L_mellifer	L_apis	L_kullabergensis	L_melliventris	L_helsingborgensis	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Commensalibacter	Fructobacillus	L_kunkeei	Bombella	Enterobacteriaceae	Total_reads	Bee	Description	Hive	Week
2-W0-C-S-1	66	12	234	144	158	158	221	170	179	33	13	0	0	76	0	12	1476	1	Control	1	0
2-W0-C-S-2	104	29	266	313	312	219	308	201	296	0	30	0	0	82	0	30	2190	2	Control	2	0
2-W0-C-S-3	5	0	234	45	28	53	0	896	276	225	35	135	0	0	0	256	2188	3	Control	3	0
2-W0-C-S-4	205	15	504	149	292	243	436	442	645	143	86	11	11	10	0	12	3204	4	Control	4	0
2-W0-C-S-5	0	13	241	142	111	43	238	424	1011	107	287	0	0	127	0	14	2758	5	Control	5	0
2-W0-C-S-6	89	0	566	138	275	255	355	178	555	107	23	0	22	139	0	80	2782	6	Control	6	0
2-W0-R0-001-S-1	193	9	214	211	482	48	208	126	625	97	68	2	0	180	0	6	2469	7	0.001R-Syrup	7	0
2-W0-R0-001-S-2	96	0	312	166	170	0	227	271	488	75	54	15	10	83	0	20	1987	8	0.001R-Syrup	8	0
2-W0-R0-001-S-3	78	0	184	69	94	70	124	271	501	110	55	0	0	0	0	28	1584	9	0.001R-Syrup	9	0
2-W0-R0-001-S-4	99	4	161	148	248	189	181	169	313	20	67	0	0	6	0	22	1627	10	0.001R-Syrup	10	0
2-W0-R0-001-W-1	94	10	203	82	125	37	176	249	572	76	368	5	10	0	0	36	2043	11	0.001R-Water	11	0
2-W0-R0-001-W-2	0	10	814	517	273	201	37	207	98	0	6	69	0	64	0	0	2296	12	0.001R-Water	12	0
2-W0-R0-001-W-3	52	14	439	222	295	177	436	417	517	248	12	0	27	155	0	68	3079	13	0.001R-Water	13	0
2-W0-R0-001-W-4	0	21	317	349	542	152	365	639	226	100	25	0	4	164	0	0	2904	14	0.001R-Water	14	0
2-W0-R0-1-S-1	0	0	276	83	57	0	115	799	832	157	37	6	0	46	0	97	2505	15	0.1R-Syrup	15	0
2-W0-R0-1-S-2	158	16	305	243	385	64	225	231	531	58	89	0	0	0	0	37	2342	16	0.1R-Syrup	16	0
2-W0-R0-1-S-3	237	21	374	143	366	92	308	215	690	185	134	0	89	0	0	30	2884	17	0.1R-Syrup	17	0
2-W0-R0-1-S-4	116	0	208	208	191	53	89	658	435	147	20	0	0	0	0	0	2125	18	0.1R-Syrup	18	0
2-W0-R0-1-W-1	108	22	425	133	208	116	293	227	416	226	21	0	22	127	0	0	2344	19	0.1R-Water	19	0
