ASV	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Bombella	Enterobacteriaceae	Commensalibacter	L_kunkeei	Fructobacillus	Total_bact	Total_bact_qpcr_not_corrected	Snod_qpcr	Firm4	Firm5	Other_bact	Bee	Description	Day
NEW-CTL-1	146163	184292	2621397	1239206	1147060	3072595	2796157	8353518	2030391	301858	8000821	38129	30867	797540	1693581	0	32453575	108312947	2894504	330455	8080258	2560117	1	C	0
NEW-CTL-2	64230	0	1339664	2838374	3443975	2327589	3511265	2758851	5074205	21410	244687	2596745	0	0	7995162	0	32216157	121352728	696765	64230	9949602	10591907	2	C	0
NEW-CTL-3	7646	0	2474784	1432367	2245401	3221552	2614962	7409059	5897682	912433	581103	71363	0	22938	1409429	35682	28336401	106953477	3774400	7646	9374104	1539412	3	C	0
NEW-CTL-4	230053	446574	1592972	1672234	1670301	3663449	4098423	6335157	4158353	19332	8254844	83128	0	763621	1850090	0	34838531	114647597	2708668	676627	8598956	2696839	4	C	0
NEW-CTL-5	304637	680953	2759653	3828869	1606811	1831804	3659626	5180820	6070838	37831	3221586	27875	12515	0	945769	0	30169587	106953477	2335976	985590	10027137	986159	5	C	0
NEW-CTL-6	463541	640777	2299528	22295421	2099569	2867593	6771337	17469140	10334241	63623	5935145	0	59728	427185	1813264	0	73540092	268926590	6417938	1104318	29562111	2300177	6	C	0
NEW-CTL-7	200274	624952	4480830	1512914	2890702	1305401	3223688	6606630	3568739	1619083	564628	2586672	0	480175	4956179	0	34620867	130906836	2954210	825226	10189847	8023026	7	C	0
NEW-CTL-8	151857	294368	1726493	1098040	6275183	880768	2742764	5036967	6882609	144848	3214688	3513729	0	385482	3151609	0	35499405	130082715	2613594	446225	9980484	7050820	8	C	0
NEW-GLY-1	282866	360011	1182894	679613	1120443	3357657	4062985	44083	352664	503281	3445823	25715	2943066	33062	881660	7347	19283170	70944273	48519	642877	6340607	3890850	9	G	0
NEW-GLY-2	165279	305942	407923	5663446	701557	738481	2169727	47474	3360088	339350	249677	0	0	226819	437814	0	14813577	54415498	26702	471221	7511407	664633	10	G	0
NEW-GLY-3	52673	235480	1177398	4229336	802489	793194	1821868	114641	2649144	474057	1171201	2447747	10623	0	3423748	46476	19450075	71846035	53461	288153	7002417	5928594	11	G	0
NEW-GLY-4	62148	375276	2873130	3788611	3114549	35854	4947903	38245	4302524	93221	243810	0	0	0	2337705	4781	22217757	78487600	12738	437424	9812144	2342486	12	G	0
NEW-GLY-5	185330	2063338	1241710	1019314	8117445	1828587	1494994	358304	14301283	0	7450258	24711	0	55599	2767592	0	40908465	145743356	230165	2248668	12207056	2847902	13	G	0
NEW-GLY-6	50729	349465	2282793	1223126	1459860	2294066	2085515	45092	87366	628473	3821565	14091	0	140913	1651502	0	16134556	52724073	11799	400194	7259845	1806506	14	G	0
NEW-GLY-7	116450	471931	1195149	4794898	1191063	2745779	1397405	140966	1795788	2022560	1135903	0	0	167525	1037839	22473	18235729	67876310	65236	588381	9926889	1227837	15	G	0
NEW-GLY-8	144644	927033	6627303	5016500	2958617	5108546	6798245	131494	7186153	420781	3957973	782390	45084	131494	5910660	19724	46166641	163289379	71150	1071677	19710966	6889352	16	G	0
NEW-ROU-1	122554	213138	3138456	5200565	2288568	1222879	2243277	687370	1507951	3021230	1971526	1795687	21314	341021	2629589	7993	26413118	97286803	337520	335692	11850468	4795604	17	R	0
NEW-ROU-2	40378	84793	2352666	2633964	893690	2140011	2228842	71334	79409	2726832	597588	1092886	83832	91522	2568013	2692	17688452	65352444	36271	125171	8020331	3838945	18	R	0
NEW-ROU-3	94091	767588	6626016	8086909	5090840	4065739	2723699	49522	8889162	123804	5437493	3357578	25468	0	5630628	0	50968537	187628167	20900	861679	23869504	9013674	19	R	0
NEW-ROU-4	212760	722839	1811188	793759	2081230	2045770	2602219	204577	2536755	403699	1871197	35460	14028	1803005	818308	0	17956794	62922423	123478	935599	6731947	2670801	20	R	0
NEW-ROU-5	124493	0	3811600	3642078	1536295	678089	1923017	34434	739011	458240	715172	34434	9082	5445900	235742	0	19387587	72301206	8687	124493	9668062	5725158	21	R	0
NEW-ROU-6	158943	769286	2469979	4024445	4326437	2126661	2206133	1227042	1227042	4761942	546765	4501275	9082	2616207	3751062	0	34722301	133410656	655367	928229	12947522	10877626	22	R	0
NEW-ROU-7	16395	0	4745561	718392	262317	1325001	1654388	232509	2572499	1462122	459056	32790	0	0	1439765	0	14920795	55456289	204670	16395	7051271	1472555	23	R	0
NEW-ROU-8	49516	131219	2321084	4070252	470406	633811	1388936	97795	1439691	311954	1284952	44565	7074	503830	2260426	6190	15021701	54760240	72248	180735	7495553	2822085	24	R	0
