ASV	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Commensalibacter	Bombella	Enterobacteriaceae	L_kunkeei	Fructobacillus	Reads	Firm4	Firm5	Other_bact	Bee	Description	Day
NEW-CTL-1	0.539779395	0.68059141	9.680826097	4.576390519	4.236094813	11.34710162	5.163107252	30.84956583	7.49823985	1.114761793	14.77352734	2.945318	0.140812016	0.199483689	6.254400375	0	100	1.220370805	29.84041305	6.594696081	1	C	0
NEW-CTL-2	0.211714891	0	4.415767719	9.355781833	11.3519508	7.672144369	5.786873677	9.093658635	16.72547636	0.07057163	0.403266458	0	8.559330578	0	26.35346305	0	100	0.211714891	32.79564472	34.91279363	2	C	0
NEW-CTL-3	0.028595939	0	9.255552378	5.356972643	8.397674197	12.04842246	4.889905633	27.70946526	22.05700124	3.412448766	1.086645696	0.085787818	0.266895434	0	5.271184825	0.133447717	100	0.028595939	35.05862168	5.538080259	3	C	0
NEW-CTL-4	0.802644004	1.558073654	5.557803858	5.834345069	5.827600162	12.78159989	7.14960205	22.10306219	14.50829624	0.067449076	14.40037771	2.6642385	0.290031027	0	6.454876568	0	100	2.360717658	30.00134898	6.744907595	4	C	0
NEW-CTL-5	1.139325341	2.546727232	10.3209472	14.31975575	6.009382679	6.850845186	6.843398615	19.37597736	22.70459453	0.141484846	6.024275821	0	0.104251992	0.081912279	3.537121156	0	100	3.686052573	37.50093082	3.723285427	5	C	0
NEW-CTL-6	0.689468704	0.95308909	3.420305529	33.16209274	3.122887657	4.265242666	5.035825335	25.98350683	15.37109639	0.094632959	4.413951602	0.635392727	0	0.155468433	2.69703934	0	100	1.642557794	43.97052859	2.852507773	6	C	0
NEW-CTL-7	0.611959006	1.909607019	13.69166114	4.622871046	8.832854088	3.98879304	4.925164049	20.1872742	10.90466711	4.947283049	0.862641009	1.467227015	7.903856079	0	15.14414215	0	100	2.521566025	31.13617931	23.04799823	7	C	0
NEW-CTL-8	0.466954023	0.905172414	5.308908046	3.376436782	19.29597701	2.708333333	4.216954023	15.48850575	21.1637931	0.445402299	4.942528736	1.185344828	10.8045977	0	9.691091954	0	100	1.372126437	30.68965517	20.49568966	8	C	0
NEW-GLY-1	1.594863297	2.029826015	6.669428335	3.831814416	6.317315659	18.93123447	11.45401823	0.248550124	1.988400994	2.837613919	9.714167357	0.186412593	0.144987572	29.03893952	4.971002486	0.041425021	100	3.624689312	35.74979287	34.15492958	9	G	0
NEW-GLY-2	1.214941192	2.248933695	2.99857826	41.63112317	5.157037611	5.428460644	7.974667184	0.34897247	24.69949593	2.494506915	0.917668347	1.667312912	0	0	3.218301667	0	100	3.463874887	55.21519969	3.218301667	10	G	0
