#OTU ID	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Commensalibacter	Bombella	Enterobacteriaceae	L_kunkeei	Fructobacillus	Total_reads	Bee	Description	Day	Firm4	Firm5	Other_bact
NEW-CTL-1	46	58	825	390	361	967	440	2629	639	95	1259	251	12	17	533	0	8418	1	C	0	104	2543	550
NEW-CTL-2	21	0	438	928	1126	761	574	902	1659	7	40	0	849	0	2614	0	9898	2	C	0	21	3253	2614
NEW-CTL-3	3	0	971	562	881	1264	513	2907	2314	358	114	9	28	0	553	14	10488	3	C	0	3	3678	567
NEW-CTL-4	119	231	824	865	864	1895	1060	3277	2151	10	2135	395	43	0	957	0	14476	4	C	0	350	4448	957
NEW-CTL-5	153	342	1386	1923	807	920	919	2602	3049	19	809	0	14	11	475	0	12934	5	C	0	495	5036	486
NEW-CTL-6	102	141	506	4906	462	631	745	3844	2274	14	653	94	0	23	399	0	14551	6	C	0	243	6505	422
NEW-CTL-7	83	259	1857	627	1198	541	668	2738	1479	671	117	199	1072	0	2054	0	13221	7	C	0	342	4223	2054
NEW-CTL-8	65	126	739	470	2686	377	587	2156	2946	62	688	165	1504	0	1349	0	13729	8	C	0	191	4272	1349
NEW-GLY-1	77	98	322	185	305	914	553	12	96	137	469	9	7	1402	240	2	4653	9	G	0	175	1726	1644
NEW-GLY-2	94	174	232	3221	399	420	617	27	1911	193	71	129	0	0	249	0	7469	10	G	0	268	4272	249
NEW-GLY-3	17	76	380	1365	259	256	294	37	855	153	189	0	790	6	1105	15	5704	11	G	0	93	2260	1126
NEW-GLY-4	26	157	1202	1585	1303	15	1035	16	1800	39	51	0	0	0	978	2	8026	12	G	0	183	4105	980
NEW-GLY-5	30	334	201	165	1314	296	121	58	2315	0	603	9	4	0	448	0	5534	13	G	0	364	1976	448
NEW-GLY-6	18	124	810	434	518	814	370	16	31	223	678	50	5	0	586	0	4535	14	G	0	142	2576	586
NEW-GLY-7	57	231	585	2347	583	1344	342	69	879	990	278	82	0	0	508	11	8018	15	G	0	288	4859	519
NEW-GLY-8	22	141	1008	763	450	777	517	20	1093	64	301	20	119	12	899	3	6046	16	G	0	163	2998	914
NEW-ROU-1	46	80	1178	1952	859	459	421	258	566	1134	370	128	674	14	987	3	9003	17	R	0	126	4448	1004
NEW-ROU-2	30	63	1748	1957	664	1590	828	53	59	2026	222	68	812	109	1908	2	12046	18	R	0	93	5959	2019
NEW-ROU-3	19	155	1338	1633	1028	821	275	10	1795	25	549	0	678	9	1137	0	9298	19	R	0	174	4820	1146
NEW-ROU-4	78	265	664	291	763	750	477	75	930	148	343	661	13	9	300	0	5424	20	R	0	343	2468	309
NEW-ROU-5	47	0	1439	1375	580	256	363	13	279	173	135	2056	13	6	89	0	6777	21	R	0	47	3650	95
NEW-ROU-6	50	242	777	1266	1361	669	347	386	386	1498	86	823	1416	5	1180	0	10200	22	R	0	292	4073	1185
NEW-ROU-7	11	0	3184	482	176	889	555	156	1726	981	154	0	22	0	966	0	9291	23	R	0	11	4731	966
NEW-ROU-8	40	106	1875	3288	380	512	561	79	1163	252	519	407	36	10	1826	5	10913	24	R	0	146	6055	1841
