ASV	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Total_bact	Total_bact_qpcr_not_corrected	Other_bact	Firm4	Firm5	Bee	Description	Day
WRE-C-D0-1	456425	1487946	5723572	3514474	6627294	4555123	10004840	2619880	17846224	0	255598	56315303	205427842	3223927	1944371	20420463	1	Control	0
WRE-C-D0-2	147640	1046905	2563576	1335475	5972729	1033483	7610196	9824803	9549655	6885415	2362248	50063546	180309299	1731421	1194545	10905263	2	Control	0
WRE-C-D0-3	218432	3567723	561682	1607036	3063249	6708984	8747683	3567723	10115484	1086959	93614	41432248	149241092	2093679	3786155	11940951	3	Control	0
WRE-C-D0-4	204800	0	9966939	1795414	3215362	6348803	8041818	7482031	10042032	5659310	7208964	68471504	243384454	8506031	204800	21326518	4	Control	0
WRE-C-D0-5	433158	1148212	3829665	1546992	10347659	9220073	5555421	2482063	18708292	116884	17312561	75092473	254751792	4391493	1581370	24944389	5	Control	0
WRE-C-D0-6	252879	714012	520634	2191621	2870925	6550072	9678835	352048	15569437	679303	6674032	52074028	175666881	6020230	966891	12133252	6	Control	0
WRE-C-D0-7	192465	3971771	1137291	2760993	5263034	4818616	12751660	503908	8786888	0	4584159	46281108	151200259	1510323	4164236	13979934	7	Control	0
WRE-C-D0-8	190743	4606078	2182942	3800721	4697917	3843108	9537125	374420	25397011	56516	720583	59139258	216429160	3732094	4796821	14524688	8	Control	0
WRE-C-D0-9	131534	161599	1495727	2623160	2018104	2664499	3991111	751622	12736230	75162	1074819	32205380	118786300	4481813	293133	8801490	9	Control	0
WRE-C-D0-10	443305	0	1084931	349978	2049314	6809011	7715064	1139372	8154481	0	6571804	37119859	120345671	2802599	443305	10293234	10	Control	0
WRE-C-D0-11	414811	10888791	4505309	4609012	11372737	14368595	24473853	10128304	29221135	6129986	483946	118243542	423660371	1647063	11303602	34855653	11	Control	0
WRE-C-D0-12	214152	669226	6132787	120461	3967172	3929695	3570990	511289	3407699	4722059	5450177	33433385	115727913	737678	883378	14150115	12	Control	0
WRE-C-D0-13	313643	515810	3829841	855904	1326368	3690024	3839288	606502	5052291	502584	8150929	29626001	94546247	942817	829453	9702137	13	Control	0
WRE-C-D0-14	154785	727906	1430712	1083492	1029109	3769215	6434021	5371445	5542963	2183718	4944742	34274458	114975700	1602350	882691	7312528	14	Control	0
WRE-C-D0-15	211486	225585	1600247	1103254	1170225	2023220	6429187	2012646	1522702	5396428	13542179	37018680	108422029	1781521	437071	5896946	15	Control	0
