ASV	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Other_bact	Total_reads	Firm4	Firm5	Bee	Description	Day
WRE-C-D0-1	9	29	111	68	129	89	97	51	347	0	2	66	998	38	397	1	Control	0
WRE-C-D0-2	3	23	57	30	132	23	84	218	212	153	26	38	999	26	242	2	Control	0
WRE-C-D0-3	6	96	15	43	82	180	117	96	271	29	1	64	1000	102	320	3	Control	0
WRE-C-D0-4	3	0	164	30	53	104	66	123	165	93	59	140	1000	3	351	4	Control	0
WRE-C-D0-5	7	18	60	24	162	145	44	39	294	2	136	69	1000	25	391	5	Control	0
WRE-C-D0-6	6	16	12	50	65	149	110	8	355	15	76	138	1000	22	276	6	Control	0
WRE-C-D0-7	5	105	30	73	139	127	169	13	232	0	61	45	999	110	369	7	Control	0
WRE-C-D0-8	4	85	40	70	87	71	88	7	469	1	7	71	1000	89	268	8	Control	0
WRE-C-D0-9	4	5	50	88	68	90	67	25	429	3	18	152	999	9	296	9	Control	0
WRE-C-D0-10	15	0	36	12	68	226	128	38	271	0	109	97	1000	15	342	10	Control	0
WRE-C-D0-11	4	103	43	44	107	136	116	96	276	58	2	17	1002	107	330	11	Control	0
WRE-C-D0-12	7	23	212	4	137	136	62	18	118	163	94	26	1000	30	489	12	Control	0
WRE-C-D0-13	13	22	162	36	56	156	81	26	214	21	172	40	999	35	410	13	Control	0
WRE-C-D0-14	5	25	50	38	36	131	112	187	193	76	86	61	1000	30	255	14	Control	0
WRE-C-D0-15	8	8	59	41	43	75	119	74	56	199	250	68	1000	16	218	15	Control	0
WRE-R-D0-1	7	25	54	15	87	129	106	94	182	105	78	118	1000	32	285	16	Roundup	0
WRE-R-D0-2	6	96	19	14	46	212	62	13	240	3	275	14	1000	102	291	17	Roundup	0
WRE-R-D0-3	0	0	281	1	112	2	79	94	281	1	111	38	1000	0	396	18	Roundup	0
WRE-R-D0-4	7	63	61	33	70	154	131	42	249	61	58	71	1000	70	318	19	Roundup	0
WRE-R-D0-5	9	84	86	65	73	282	134	6	116	62	3	79	999	93	506	20	Roundup	0
WRE-R-D0-6	8	62	32	54	195	123	99	17	256	0	111	43	1000	70	404	21	Roundup	0
WRE-R-D0-7	8	127	55	73	51	144	150	88	273	2	6	22	999	135	323	22	Roundup	0
WRE-R-D0-8	3	31	106	63	209	25	34	103	164	128	63	70	999	34	403	23	Roundup	0
WRE-R-D0-9	9	30	100	4	201	77	42	5	360	2	44	127	1001	39	382	24	Roundup	0
WRE-R-D0-10	5	44	13	55	56	114	101	281	283	0	8	41	1001	49	238	25	Roundup	0
WRE-R-D0-11	13	134	54	15	141	142	124	4	266	59	12	36	1000	147	352	26	Roundup	0
WRE-R-D0-12	14	0	44	82	171	104	131	36	236	15	17	150	1000	14	401	27	Roundup	0
WRE-R-D0-13	9	16	52	18	28	238	82	79	199	55	138	87	1001	25	336	28	Roundup	0
WRE-R-D0-14	3	35	68	39	46	125	90	6	137	214	181	57	1001	38	278	29	Roundup	0
WRE-R-D0-15	8	92	12	74	128	70	186	4	350	1	22	53	1000	100	284	30	Roundup	0
WRE-C-D3-1	3	55	76	26	56	154	74	96	356	60	27	15	998	58	312	31	Control	3
WRE-C-D3-2	7	9	33	57	38	149	46	147	183	2	230	99	1000	16	277	32	Control	3
WRE-C-D3-3	7	36	49	37	130	94	47	127	408	1	6	57	999	43	310	33	Control	3
WRE-C-D3-4	6	100	80	5	74	136	95	145	271	50	4	34	1000	106	295	34	Control	3
WRE-C-D3-5	5	33	106	19	50	145	83	7	332	1	36	183	1000	38	320	35	Control	3
WRE-C-D3-6	8	64	61	43	74	132	53	90	388	0	6	81	1000	72	310	36	Control	3
WRE-C-D3-7	8	13	66	16	39	133	75	50	305	0	269	25	999	21	254	37	Control	3
WRE-C-D3-8	11	105	20	119	76	207	48	88	248	1	5	73	1001	116	422	38	Control	3
