ASV	L_mellifer	L_mellis	L_apis	L_helsingborgensis	L_kullabergensis	L_melliventris	Bifidobacterium	Snodgrassella	Gilliamella	Frischella	Bartonella	Apibacter	Bombella	L_kunkeei	Other_lact	Commensalibacter; D_6__Apis mellifera (honey bee)	Enterobacteriaceae	Pseudomonas	Total_reads	Bee	Description	Day
WRE-C-D0-1	50	163	627	385	726	499	548	287	1955	0	14	0	0	319	0	8	43	2	5626	1	Control	0
WRE-C-D0-2	22	156	382	199	890	154	567	1464	1423	1026	176	0	0	234	18	6	0	0	6717	2	Control	0
WRE-C-D0-3	42	686	108	309	589	1290	841	686	1945	209	9	0	0	276	3	47	134	0	7174	3	Control	0
WRE-C-D0-4	30	0	1460	263	471	930	589	1096	1471	829	528	0	0	989	8	249	0	0	8913	4	Control	0
WRE-C-D0-5	63	167	557	225	1505	1341	404	361	2721	17	1259	0	0	627	6	0	10	0	9263	5	Control	0
WRE-C-D0-6	51	144	105	442	579	1321	976	71	3140	137	673	0	0	1084	4	121	9	0	8857	6	Control	0
WRE-C-D0-7	55	1135	325	789	1504	1377	1822	144	2511	0	655	0	0	218	0	32	28	207	10802	7	Control	0
WRE-C-D0-8	27	652	309	538	665	544	675	53	3595	8	51	0	0	482	4	24	32	0	7659	8	Control	0
WRE-C-D0-9	35	43	398	698	537	709	531	200	3389	20	143	0	0	1138	0	46	15	0	7902	9	Control	0
WRE-C-D0-10	114	0	279	90	527	1751	992	293	2097	0	845	0	0	669	10	4	66	0	7737	10	Control	0
WRE-C-D0-11	36	945	391	400	987	1247	1062	879	2536	532	21	0	0	104	7	6	23	16	9192	11	Control	0
WRE-C-D0-12	80	250	2291	45	1482	1468	667	191	1273	1764	1018	0	0	264	7	0	8	0	10808	12	Control	0
WRE-C-D0-13	166	273	2027	453	702	1953	1016	321	2674	266	2157	0	0	416	32	47	7	0	12510	13	Control	0
WRE-C-D0-14	37	174	342	259	246	901	769	1284	1325	522	591	0	0	319	0	7	83	12	6871	14	Control	0
WRE-C-D0-15	60	64	454	313	332	574	912	571	432	1531	1921	0	0	478	0	0	48	0	7690	15	Control	0
WRE-R-D0-1	82	276	605	168	966	1438	1188	1050	2027	1171	870	0	0	878	19	37	81	301	11157	16	Roundup	0
WRE-R-D0-2	48	717	146	103	344	1590	468	96	1801	21	2067	0	0	35	0	11	60	0	7507	17	Roundup	0
WRE-R-D0-3	4	0	2683	10	1072	23	751	896	2689	7	1060	0	0	19	35	309	0	0	9558	18	Roundup	0
WRE-R-D0-4	54	469	449	246	520	1138	966	310	1837	453	426	0	0	360	5	19	138	0	7390	19	Roundup	0
WRE-R-D0-5	83	810	831	630	700	2723	1297	54	1123	596	32	0	0	308	0	16	441	0	9644	20	Roundup	0
WRE-R-D0-6	46	350	180	302	1094	690	557	96	1436	0	622	0	0	59	0	166	16	0	5614	21	Roundup	0
WRE-R-D0-7	61	1021	444	588	408	1153	1206	706	2193	17	45	0	0	92	0	62	24	0	8020	22	Roundup	0
WRE-R-D0-8	36	333	1127	663	2212	269	364	1087	1737	1359	670	0	0	716	27	0	0	0	10600	23	Roundup	0
WRE-R-D0-9	46	155	507	18	1024	393	213	26	1832	8	226	0	0	189	0	18	27	411	5093	24	Roundup	0
WRE-R-D0-10	39	344	100	425	438	885	790	2185	2202	0	63	0	0	285	0	0	0	31	7787	25	Roundup	0
WRE-R-D0-11	57	582	237	64	615	618	538	19	1157	258	54	0	0	100	2	53	0	0	4354	26	Roundup	0
WRE-R-D0-12	95	0	291	544	1141	695	877	237	1577	103	114	0	0	906	0	79	13	2	6674	27	Roundup	0
WRE-R-D0-13	82	143	476	169	252	2176	755	724	1824	501	1261	0	0	227	26	8	535	0	9159	28	Roundup	0
WRE-R-D0-14	25	276	533	302	360	979	707	48	1073	1674	1418	0	0	199	0	12	234	0	7840	29	Roundup	0
WRE-R-D0-15	63	711	91	570	990	543	1432	29	2704	6	173	0	0	255	0	15	127	9	7718	30	Roundup	0
WRE-C-D3-1	22	363	504	174	371	1017	492	638	2357	395	180	0	0	68	0	0	0	34	6615	31	Control	3
WRE-C-D3-2	54	72	260	453	300	1176	366	1164	1452	13	1821	0	0	757	4	18	6	0	7916	32	Control	3
WRE-C-D3-3	43	222	299	224	795	573	287	774	2493	9	37	22	0	327	0	0	0	0	6105	33	Control	3
WRE-C-D3-4	56	870	692	43	646	1184	823	1256	2352	433	35	0	0	120	0	6	146	20	8682	34	Control	3
