SampleID	Description	Condition
NEW-CTL-1	Untreated	Control
NEW-CTL-2	Untreated	Control
NEW-CTL-3	Untreated	Control
NEW-CTL-4	Untreated	Control
NEW-CTL-5	Untreated	Control
NEW-CTL-6	Untreated	Control
NEW-CTL-7	Untreated	Control
NEW-CTL-8	Untreated	Control
NEW-GLY-1	Treated	Glyphosate
NEW-GLY-2	Treated	Glyphosate
NEW-GLY-3	Treated	Glyphosate
NEW-GLY-4	Treated	Glyphosate
NEW-GLY-5	Treated	Glyphosate
NEW-GLY-6	Treated	Glyphosate
NEW-GLY-7	Treated	Glyphosate
NEW-GLY-8	Treated	Glyphosate
NEW-ROU-1	Treated	Roundup
NEW-ROU-2	Treated	Roundup
NEW-ROU-3	Treated	Roundup
NEW-ROU-4	Treated	Roundup
NEW-ROU-5	Treated	Roundup
NEW-ROU-6	Treated	Roundup
NEW-ROU-7	Treated	Roundup
NEW-ROU-8	Treated	Roundup
