Sample	Concentration	Hive	Treatment	Week
1_C_S_1_W0_9_20_19	0	1_C_S_1	Control	0
1_C_S_2_W0_9_20_19	0	1_C_S_2	Control	0
1_C_S_3_W0_9_20_19	0	1_C_S_3	Control	0
1_C_S_4_W0_9_20_19	0	1_C_S_4	Control	0
1_C_S_5_W0_9_20_19	0	1_C_S_5	Control	0
1_C_S_1_W1_9_20_19	0	1_C_S_1	Control	1
1_C_S_2_W1_9_20_19	0	1_C_S_2	Control	1
1_C_S_3_W1_9_20_19	0	1_C_S_3	Control	1
1_C_S_4_W1_9_20_19	0	1_C_S_4	Control	1
1_C_S_5_W1_9_20_19	0	1_C_S_5	Control	1
1_C_S_1_W2_9_20_19	0	1_C_S_1	Control	2
1_C_S_2_W2_9_20_19	0	1_C_S_2	Control	2
1_C_S_3_W2_9_20_19	0	1_C_S_3	Control	2
1_C_S_4_W2_9_20_19	0	1_C_S_4	Control	2
1_C_S_5_W2_9_20_19	0	1_C_S_5	Control	2
1_C_S_1_W3_9_20_19	0	1_C_S_1	Control	3
1_C_S_2_W3_9_20_19	0	1_C_S_2	Control	3
1_C_S_3_W3_9_20_19	0	1_C_S_3	Control	3
1_C_S_4_W3_9_20_19	0	1_C_S_4	Control	3
1_C_S_5_W3_9_20_19	0	1_C_S_5	Control	3
1_C_S_1_W4_9_20_19	0	1_C_S_1	Control	4
1_C_S_2_W4_9_20_19	0	1_C_S_2	Control	4
1_C_S_3_W4_9_20_19	0	1_C_S_3	Control	4
1_C_S_4_W4_9_20_19	5.11048101	1_C_S_4	Control	4
1_C_S_5_W4_9_20_19	0	1_C_S_5	Control	4
1_C_S_1_W7_9_20_19	0	1_C_S_1	Control	7
1_C_S_2_W7_9_20_19	0	1_C_S_2	Control	7
1_C_S_3_W7_9_20_19	0	1_C_S_3	Control	7
1_C_S_4_W7_9_20_19	7.722020173	1_C_S_4	Control	7
1_C_S_5_W7_9_20_19	0	1_C_S_5	Control	7
1_0_001R_S_1_W0_9_20_19	13.31996326	1_0_001R_S_1	0_001RS	0
1_0_001R_S_2_W0_9_20_19	0	1_0_001R_S_2	0_001RS	0
1_0_001R_S_3_W0_9_20_19	0	1_0_001R_S_3	0_001RS	0
1_0_001R_S_4_W0_9_20_19	0	1_0_001R_S_4	0_001RS	0
1_0_001R_S_5_W0_9_20_19	0	1_0_001R_S_5	0_001RS	0
1_0_001R_S_1_W1_9_20_19	23.2347637	1_0_001R_S_1	0_001RS	1
1_0_001R_S_2_W1_9_20_19	1.402821187	1_0_001R_S_2	0_001RS	1
1_0_001R_S_3_W1_9_20_19	6.010249986	1_0_001R_S_3	0_001RS	1
1_0_001R_S_4_W1_9_20_19	6.14689422	1_0_001R_S_4	0_001RS	1
1_0_001R_S_5_W1_9_20_19	35.55531237	1_0_001R_S_5	0_001RS	1
1_0_001R_S_1_W2_9_20_19	21.50403767	1_0_001R_S_1	0_001RS	2
1_0_001R_S_2_W2_9_20_19	6.95194088	1_0_001R_S_2	0_001RS	2
1_0_001R_S_3_W2_9_20_19	17.40710913	1_0_001R_S_3	0_001RS	2
1_0_001R_S_4_W2_9_20_19	6.099091802	1_0_001R_S_4	0_001RS	2
1_0_001R_S_5_W2_9_20_19	40.94159756	1_0_001R_S_5	0_001RS	2
1_0_001R_S_1_W3_9_20_19	33.60103417	1_0_001R_S_1	0_001RS	3
1_0_001R_S_2_W3_9_20_19	26.69569779	1_0_001R_S_2	0_001RS	3
1_0_001R_S_3_W3_9_20_19	24.84622976	1_0_001R_S_3	0_001RS	3
1_0_001R_S_4_W3_9_20_19	10.01262204	1_0_001R_S_4	0_001RS	3
1_0_001R_S_5_W3_9_20_19	67.45286562	1_0_001R_S_5	0_001RS	3
1_0_001R_S_1_W4_9_20_19	33.79849817	1_0_001R_S_1	0_001RS	4
1_0_001R_S_2_W4_9_20_19	35.91912065	1_0_001R_S_2	0_001RS	4
1_0_001R_S_3_W4_9_20_19	23.30925736	1_0_001R_S_3	0_001RS	4
1_0_001R_S_4_W4_9_20_19	23.40227374	1_0_001R_S_4	0_001RS	4
1_0_001R_S_5_W4_9_20_19	70.48978913	1_0_001R_S_5	0_001RS	4
1_0_001R_S_1_W7_9_20_19	33.00744792	1_0_001R_S_1	0_001RS	7
1_0_001R_S_2_W7_9_20_19	45.51291669	1_0_001R_S_2	0_001RS	7
1_0_001R_S_3_W7_9_20_19	23.5856365	1_0_001R_S_3	0_001RS	7
1_0_001R_S_4_W7_9_20_19	20.05662516	1_0_001R_S_4	0_001RS	7
1_0_001R_S_5_W7_9_20_19	84.51877309	1_0_001R_S_5	0_001RS	7
1_0_1R_S_1_W0_9_20_19	0	1_0_1R_S_1	0_1RS	0
1_0_1R_S_2_W0_9_20_19	0	1_0_1R_S_2	0_1RS	0
1_0_1R_S_3_W0_9_20_19	0	1_0_1R_S_3	0_1RS	0
