Sample	Snodgrassella	Total_bact	Bee	Description	Day
2-WRE-C-D0-1	1338074	22293140	1	Control	0
2-WRE-C-D0-2	3606207	11305847	2	Control	0
2-WRE-C-D0-3	2077523	27652550	3	Control	0
2-WRE-C-D0-4	23400	24586704	4	Control	0
2-WRE-C-D0-5	6144439	13397388	5	Control	0
2-WRE-C-D0-6	1153173	22148075	6	Control	0
2-WRE-C-D0-7	1211778	21158705	7	Control	0
2-WRE-C-D0-8	877986	18690415	8	Control	0
2-WRE-C-D0-9	601634	23032846	9	Control	0
2-WRE-C-D0-10	934111	4713861	10	Control	0
2-WRE-C-D0-11	136826	17169610	11	Control	0
2-WRE-C-D0-12	597918	7895201	12	Control	0
2-WRE-C-D0-13	775651	11834502	13	Control	0
2-WRE-C-D0-14	711199	42269566	14	Control	0
2-WRE-C-D0-15	2014144	5549560	15	Control	0
2-WRE-R-D0-1	561993	16402631	16	Roundup	0
2-WRE-R-D0-2	16235	2907815	17	Roundup	0
2-WRE-R-D0-3	77854	22003953	18	Roundup	0
2-WRE-R-D0-4	313885	8937856	19	Roundup	0
2-WRE-R-D0-5	20166	23335556	20	Roundup	0
2-WRE-R-D0-6	31505	19184921	21	Roundup	0
2-WRE-R-D0-7	1609	8157171	22	Roundup	0
2-WRE-R-D0-8	54350	7396231	23	Roundup	0
2-WRE-R-D0-9	409719	33855449	24	Roundup	0
2-WRE-R-D0-10	586906	5733700	25	Roundup	0
2-WRE-R-D0-11	152025	26590320	26	Roundup	0
2-WRE-R-D0-12	538138	8264376	27	Roundup	0
2-WRE-R-D0-13	249575	10453936	28	Roundup	0
2-WRE-R-D0-14	652103	12387877	29	Roundup	0
2-WRE-R-D0-15	1893127	12147616	30	Roundup	0
2-WRE-C-D3-1	1398949	9312315	31	Control	3
2-WRE-C-D3-2	618518	13041589	32	Control	3
2-WRE-C-D3-3	2644373	15136593	33	Control	3
2-WRE-C-D3-4	288089	5300684	34	Control	3
2-WRE-C-D3-5	3965433	17008305	35	Control	3
2-WRE-C-D3-6	890684	13211630	36	Control	3
2-WRE-C-D3-7	1607436	9807565	37	Control	3
2-WRE-C-D3-8	2171964	13211630	38	Control	3
2-WRE-C-D3-9	471197	17008305	39	Control	3
2-WRE-C-D3-10	618518	10196211	40	Control	3
2-WRE-C-D3-11	2675164	19868798	41	Control	3
2-WRE-C-D3-12	2002899	6192164	42	Control	3
2-WRE-C-D3-13	1231680	8505043	43	Control	3
2-WRE-C-D3-14	1129251	9433732	44	Control	3
2-WRE-C-D3-15	954749	8671921	45	Control	3
2-WRE-R-D3-1	1305077	9556732	46	Roundup	3
2-WRE-R-D3-2	10757	6112468	47	Roundup	3
2-WRE-R-D3-3	49870	27645949	48	Roundup	3
2-WRE-R-D3-4	7689	6152187	49	Roundup	3
2-WRE-R-D3-5	147205	5033017	50	Roundup	3
2-WRE-R-D3-6	66224	6521477	51	Roundup	3
2-WRE-R-D3-7	66608	5729111	52	Roundup	3
2-WRE-R-D3-8	1394	7280580	53	Roundup	3
2-WRE-R-D3-9	2177	5232462	54	Roundup	3
2-WRE-R-D3-10	72231	23819569	55	Roundup	3
2-WRE-R-D3-11	97598	10669140	56	Roundup	3
2-WRE-R-D3-12	60366	10329153	57	Roundup	3
2-WRE-R-D3-13	24755	3240026	58	Roundup	3
2-WRE-R-D3-14	1331	25413430	59	Roundup	3
2-WRE-R-D3-15	34631	12383032	60	Roundup	3
