Sample	Snodgrassella	Bee	Description	Day
3-WRE-C-D0-1	548932	1	Control	0
3-WRE-C-D0-2	353345	2	Control	0
3-WRE-C-D0-3	4383891	3	Control	0
3-WRE-C-D0-4	2490496	4	Control	0
3-WRE-C-D0-5	8295534	5	Control	0
3-WRE-C-D0-6	2954807	6	Control	0
3-WRE-C-D0-7	169193	7	Control	0
3-WRE-C-D0-8	788082	8	Control	0
3-WRE-C-D0-9	11676991	9	Control	0
3-WRE-C-D0-10	419220	10	Control	0
3-WRE-C-D0-11	3869056	11	Control	0
3-WRE-C-D0-12	2409951	12	Control	0
3-WRE-C-D0-13	313906	13	Control	0
3-WRE-C-D0-14	1700851	14	Control	0
3-WRE-C-D0-15	217216	15	Control	0
3-WRE-R-D0-1	4186694	16	Roundup	0
3-WRE-R-D0-2	9399377	17	Roundup	0
3-WRE-R-D0-3	261123	18	Roundup	0
3-WRE-R-D0-4	6010690	19	Roundup	0
3-WRE-R-D0-5	798514	20	Roundup	0
3-WRE-R-D0-6	184291	21	Roundup	0
3-WRE-R-D0-7	433231	22	Roundup	0
3-WRE-R-D0-8	212973	23	Roundup	0
3-WRE-R-D0-9	8953	24	Roundup	0
3-WRE-R-D0-10	5339802	25	Roundup	0
3-WRE-R-D0-11	5591312	26	Roundup	0
3-WRE-R-D0-12	123401	27	Roundup	0
3-WRE-R-D0-13	33568	28	Roundup	0
3-WRE-R-D0-14	269850	29	Roundup	0
3-WRE-R-D0-15	836125	30	Roundup	0
3-WRE-C-D3-1	583423	31	Control	3
3-WRE-C-D3-2	34406151	32	Control	3
3-WRE-C-D3-3	19810265	33	Control	3
3-WRE-C-D3-4	1815	34	Control	3
3-WRE-C-D3-5	1354	35	Control	3
3-WRE-C-D3-6	209	36	Control	3
3-WRE-C-D3-7	736344	37	Control	3
3-WRE-C-D3-8	4525249	38	Control	3
3-WRE-C-D3-9	9594965	39	Control	3
3-WRE-C-D3-10	19035280	40	Control	3
3-WRE-C-D3-11	9723450	41	Control	3
3-WRE-C-D3-12	26900568	42	Control	3
3-WRE-C-D3-13	9723450	43	Control	3
3-WRE-C-D3-14	4279	44	Control	3
3-WRE-C-D3-15	1957451	45	Control	3
3-WRE-R-D3-1	264394	46	Roundup	3
3-WRE-R-D3-2	15970	47	Roundup	3
3-WRE-R-D3-3	7383	48	Roundup	3
3-WRE-R-D3-4	5943895	49	Roundup	3
3-WRE-R-D3-5	63274	50	Roundup	3
3-WRE-R-D3-6	18412669	51	Roundup	3
3-WRE-R-D3-7	25952	52	Roundup	3
3-WRE-R-D3-8	852370	53	Roundup	3
3-WRE-R-D3-9	1020041	54	Roundup	3
3-WRE-R-D3-10	819025	55	Roundup	3
3-WRE-R-D3-11	5711367	56	Roundup	3
3-WRE-R-D3-12	24282	57	Roundup	3
3-WRE-R-D3-13	96205	58	Roundup	3
3-WRE-R-D3-14	965	59	Roundup	3
3-WRE-R-D3-15	771437	60	Roundup	3
