bees,hour,round_conc
39,24,0
38,24,0
36,24,0
40,24,0
39,24,0
37,24,0
40,24,0
37,24,0
36,24,0
39,24,0
37,24,0.05
38,24,0.05
39,24,0.05
39,24,0.05
39,24,0.05
33,24,0.05
37,24,0.05
38,24,0.05
37,24,0.05
36,24,0.05
37,24,0.1
37,24,0.1
37,24,0.1
36,24,0.1
36,24,0.1
35,24,0.1
35,24,0.1
39,24,0.1
36,24,0.1
36,24,0.1
37,24,0.5
32,24,0.5
15,24,0.5
37,24,0.5
27,24,0.5
36,24,0.5
30,24,0.5
35,24,0.5
31,24,0.5
32,24,0.5
27,24,1
28,24,1
26,24,1
13,24,1
23,24,1
26,24,1
31,24,1
23,24,1
25,24,1
0,24,1
10,24,3
14,24,3
8,24,3
5,24,3
1,24,3
3,24,3
6,24,3
0,24,3
11,24,3
10,24,3
39,12,0
40,12,0
39,12,0
40,12,0
40,12,0
38,12,0
40,12,0
39,12,0
39,12,0
39,12,0
40,12,0.05
39,12,0.05
40,12,0.05
39,12,0.05
39,12,0.05
39,12,0.05
39,12,0.05
39,12,0.05
38,12,0.05
38,12,0.05
40,12,0.1
40,12,0.1
40,12,0.1
39,12,0.1
38,12,0.1
38,12,0.1
39,12,0.1
39,12,0.1
38,12,0.1
39,12,0.1
39,12,0.5
38,12,0.5
37,12,0.5
38,12,0.5
36,12,0.5
38,12,0.5
37,12,0.5
38,12,0.5
36,12,0.5
38,12,0.5
35,12,1
36,12,1
37,12,1
38,12,1
37,12,1
35,12,1
38,12,1
34,12,1
31,12,1
29,12,1
32,12,3
27,12,3
28,12,3
26,12,3
36,12,3
38,12,3
34,12,3
28,12,3
31,12,3
27,12,3
