Sample	Snod_qpcr	Description	Day
IH-D3-C-1	2888049	Control	3
IH-D3-C-2	2831988	Control	3
IH-D3-C-3	35736583	Control	3
IH-D3-C-4	3023210	Control	3
IH-D3-C-5	4474344	Control	3
IH-D3-C-6	3253	Control	3
IH-D3-C-7	6493478	Control	3
IH-D3-C-8	8713110	Control	3
IH-D3-C-9	14888924	Control	3
IH-D3-C-10	13498889	Control	3
IH-D3-C-11	9362411	Control	3
IH-D3-C-12	32612601	Control	3
IH-D3-C-13	7951437	Control	3
IH-D3-C-14	12001063	Control	3
IH-D3-C-15	11023762	Control	3
IH-D3-0.05R-1	1701187	0.05R	3
IH-D3-0.05R-2	7162137	0.05R	3
IH-D3-0.05R-3	1679101	0.05R	3
IH-D3-0.05R-4	3726269	0.05R	3
IH-D3-0.05R-5	5478953	0.05R	3
IH-D3-0.05R-6	5000000	0.05R	3
IH-D3-0.05R-7	14888924	0.05R	3
IH-D3-0.05R-8	7069151	0.05R	3
IH-D3-0.05R-9	12158922	0.05R	3
IH-D3-0.05R-10	11168766	0.05R	3
IH-D3-0.05R-11	2534258	0.05R	3
IH-D3-0.05R-12	14791957	0.05R	3
IH-D3-0.05R-13	2373963	0.05R	3
IH-D3-0.05R-14	2687757	0.05R	3
IH-D3-0.05R-15	1977055	0.05R	3
IH-D3-0.1R-1	8211356	0.1R	3
IH-D3-0.1R-2	5651084	0.1R	3
IH-D3-0.1R-3	3205598	0.1R	3
IH-D3-0.1R-4	5264461	0.1R	3
IH-D3-0.1R-5	8871370	0.1R	3
IH-D3-0.1R-6	1235399	0.1R	3
IH-D3-0.1R-7	762006	0.1R	3
IH-D3-0.1R-8	2967107	0.1R	3
IH-D3-0.1R-9	2278326	0.1R	3
IH-D3-0.1R-10	15339792	0.1R	3
IH-D3-0.1R-11	40112	0.1R	3
IH-D3-0.1R-12	27748156	0.1R	3
IH-D3-0.1R-13	948614	0.1R	3
IH-D3-0.1R-14	2095280	0.1R	3
IH-D3-0.1R-15	6345933	0.1R	3
IH-D3-0.5R-1	24081218	0.5R	3
IH-D3-0.5R-2	3124043	0.5R	3
IH-D3-0.5R-3	9044502	0.5R	3
IH-D3-0.5R-4	1180922	0.5R	3
IH-D3-0.5R-5	3646437	0.5R	3
IH-D3-0.5R-6	389913	0.5R	3
IH-D3-0.5R-7	6345933	0.5R	3
IH-D3-0.5R-8	2068455	0.5R	3
IH-D3-0.5R-9	498071	0.5R	3
IH-D3-0.5R-10	3289281	0.5R	3
IH-D3-0.5R-11	8158624	0.5R	3
IH-D3-0.5R-12	596533	0.5R	3
IH-D3-0.5R-13	9474	0.5R	3
IH-D3-0.5R-14	22146477	0.5R	3
IH-D3-0.5R-15	6724768	0.5R	3
IH-D3-R1-1	0	1R	3
IH-D3-R1-2	47283	1R	3
IH-D3-R1-3	1644	1R	3
IH-D3-R1-4	1890	1R	3
IH-D3-R1-5	1411	1R	3
IH-D3-R1-6	2135093	1R	3
IH-D3-R1-7	49119	1R	3
IH-D3-R1-8	1494	1R	3
IH-D3-R1-9	262617	1R	3
IH-D3-R1-10	4746	1R	3
IH-D3-R1-11	64132	1R	3
IH-D3-R1-12	323841	1R	3
IH-D3-R1-13	78583	1R	3
IH-D3-R1-14	45515	1R	3
IH-D3-R1-15	76612	1R	3
IH-D3-R3-1	8567	3R	3
IH-D3-R3-2	1429	3R	3
IH-D3-R3-3	3263	3R	3
IH-D3-R3-4	459214	3R	3
IH-D3-R3-5	99396	3R	3
IH-D3-R3-6	27912	3R	3
IH-D3-R3-7	13533	3R	3
IH-D3-R3-8	347271	3R	3
IH-D3-R3-9	12148	3R	3
IH-D3-R3-10	1221027	3R	3
IH-D3-R3-11	14698	3R	3
IH-D3-R3-12	207626	3R	3
IH-D3-R3-13	89225	3R	3
IH-D3-R3-14	198599	3R	3
IH-D3-R3-15	13881	3R	3
