Sample	Snod_qpcr	Description	Day
IL-D1-C-1	3010709	Control	1
IL-D1-C-2	9202146	Control	1
IL-D1-C-3	12050672	Control	1
IL-D1-C-4	4258478	Control	1
IL-D1-C-5	2197993	Control	1
IL-D1-C-6	7929	Control	1
IL-D1-C-7	4749644	Control	1
IL-D1-C-8	1678434	Control	1
IL-D1-C-9	135445	Control	1
IL-D1-C-10	42969323	Control	1
IL-D1-C-11	375972	Control	1
IL-D1-C-12	22581	Control	1
IL-D1-C-13	16295832	Control	1
IL-D1-C-14	3210370	Control	1
IL-D1-C-15	2156058	Control	1
IL-D1-0.05R-1	4659026	0.05R	1
IL-D1-0.05R-2	4397416	0.05R	1
IL-D1-0.05R-3	648915	0.05R	1
IL-D1-0.05R-4	757033	0.05R	1
IL-D1-0.05R-5	213676	0.05R	1
IL-D1-0.05R-6	8685434	0.05R	1
IL-D1-0.05R-7	102767	0.05R	1
IL-D1-0.05R-8	1332029	0.05R	1
IL-D1-0.05R-9	2499187	0.05R	1
IL-D1-0.05R-10	21203622	0.05R	1
IL-D1-0.05R-11	3989	0.05R	1
IL-D1-0.05R-12	855261	0.05R	1
IL-D1-0.05R-13	204285	0.05R	1
IL-D1-0.05R-14	1884080	0.05R	1
IL-D1-0.05R-15	5721779	0.05R	1
IL-D1-0.1R-1	1797798	0.1R	1
IL-D1-0.1R-2	2121794	0.1R	1
IL-D1-0.1R-3	770239	0.1R	1
IL-D1-0.1R-4	434035	0.1R	1
IL-D1-0.1R-5	211235	0.1R	1
IL-D1-0.1R-6	8193570	0.1R	1
IL-D1-0.1R-7	2504180	0.1R	1
IL-D1-0.1R-8	718092	0.1R	1
IL-D1-0.1R-9	1258186	0.1R	1
IL-D1-0.1R-10	303759	0.1R	1
IL-D1-0.1R-11	1562606	0.1R	1
IL-D1-0.1R-12	3293671	0.1R	1
IL-D1-0.1R-13	3031789	0.1R	1
IL-D1-0.1R-14	741343	0.1R	1
IL-D1-0.1R-15	736633	0.1R	1
IL-D1-0.5R-1	425816	0.5R	1
IL-D1-0.5R-2	456738	0.5R	1
IL-D1-0.5R-3	347258	0.5R	1
IL-D1-0.5R-4	2190494	0.5R	1
IL-D1-0.5R-5	1000241	0.5R	1
IL-D1-0.5R-6	682833144	0.5R	1
IL-D1-0.5R-7	746082	0.5R	1
IL-D1-0.5R-8	11633255	0.5R	1
IL-D1-0.5R-9	8351732	0.5R	1
IL-D1-0.5R-10	962716	0.5R	1
IL-D1-0.5R-11	257375	0.5R	1
IL-D1-0.5R-112	1242251	0.5R	1
IL-D1-0.5R-13	4558659	0.5R	1
IL-D1-0.5R-14	1039230	0.5R	1
IL-D1-0.5R-15	1420146	0.5R	1
IL-D1-R1-1	7764	1R	1
IL-D1-R1-2	1039217	1R	1
IL-D1-R1-3	287824	1R	1
IL-D1-R1-4	295348	1R	1
IL-D1-R1-5	1491464	1R	1
IL-D1-R1-6	30483	1R	1
IL-D1-R1-7	7292584	1R	1
IL-D1-R1-8	4702750	1R	1
IL-D1-R1-9	4642459	1R	1
IL-D1-R1-10	1664352	1R	1
IL-D1-R1-11	256	1R	1
IL-D1-R1-12	888	1R	1
IL-D1-R1-13	94275	1R	1
IL-D1-R1-14	83399	1R	1
IL-D1-R1-15	1752510	1R	1
IL-D1-R3-1	670157	3R	1
IL-D1-R3-2	37064795	3R	1
IL-D1-R3-3	1763853	3R	1
IL-D1-R3-4	72832	3R	1
IL-D1-R3-5	2564323	3R	1
IL-D1-R3-6	1540360	3R	1
IL-D1-R3-7	65266	3R	1
IL-D1-R3-8	2531448	3R	1
IL-D1-R3-9	3825524	3R	1
IL-D1-R3-10	3234755	3R	1
IL-D1-R3-11	5894115	3R	1
IL-D1-R3-12	177412	3R	1
IL-D1-R3-13	8513873	3R	1
IL-D1-R3-14	1540360	3R	1
IL-D1-R3-15	4983897	3R	1
