Bee_number	Start	Stop	Death	Cup	Treatment
1	1	6	1	A	Control
2	1	24	0	A	Control
3	1	24	0	A	Control
4	1	24	0	A	Control
5	1	24	0	A	Control
6	1	24	0	A	Control
7	1	24	0	A	Control
8	1	24	0	A	Control
9	1	24	0	A	Control
10	1	24	0	A	Control
11	1	24	0	A	Control
12	1	24	0	A	Control
13	1	24	0	A	Control
14	1	24	0	A	Control
15	1	24	0	A	Control
16	1	24	0	A	Control
17	1	24	0	A	Control
18	1	24	0	A	Control
19	1	24	0	A	Control
20	1	24	0	A	Control
21	1	24	0	A	Control
22	1	24	0	A	Control
23	1	24	0	A	Control
24	1	24	0	A	Control
25	1	24	0	A	Control
26	1	24	0	A	Control
27	1	24	0	A	Control
28	1	24	0	A	Control
29	1	24	0	A	Control
30	1	24	0	A	Control
31	1	24	0	A	Control
32	1	24	0	A	Control
33	1	24	0	A	Control
34	1	24	0	A	Control
35	1	24	0	A	Control
36	1	24	0	A	Control
37	1	24	0	A	Control
38	1	24	0	A	Control
39	1	24	0	A	Control
40	1	24	0	A	Control
1	1	24	1	B	Control
2	1	24	1	B	Control
3	1	24	0	B	Control
4	1	24	0	B	Control
5	1	24	0	B	Control
6	1	24	0	B	Control
7	1	24	0	B	Control
8	1	24	0	B	Control
9	1	24	0	B	Control
10	1	24	0	B	Control
11	1	24	0	B	Control
12	1	24	0	B	Control
13	1	24	0	B	Control
14	1	24	0	B	Control
15	1	24	0	B	Control
16	1	24	0	B	Control
17	1	24	0	B	Control
18	1	24	0	B	Control
19	1	24	0	B	Control
20	1	24	0	B	Control
21	1	24	0	B	Control
22	1	24	0	B	Control
23	1	24	0	B	Control
24	1	24	0	B	Control
25	1	24	0	B	Control
26	1	24	0	B	Control
27	1	24	0	B	Control
28	1	24	0	B	Control
29	1	24	0	B	Control
30	1	24	0	B	Control
31	1	24	0	B	Control
32	1	24	0	B	Control
33	1	24	0	B	Control
34	1	24	0	B	Control
35	1	24	0	B	Control
36	1	24	0	B	Control
37	1	24	0	B	Control
38	1	24	0	B	Control
39	1	24	0	B	Control
40	1	24	0	B	Control
1	1	9	1	C	Control
2	1	24	1	C	Control
3	1	24	1	C	Control
4	1	24	1	C	Control
5	1	24	0	C	Control
6	1	24	0	C	Control
7	1	24	0	C	Control
8	1	24	0	C	Control
9	1	24	0	C	Control
10	1	24	0	C	Control
11	1	24	0	C	Control
12	1	24	0	C	Control
13	1	24	0	C	Control
14	1	24	0	C	Control
15	1	24	0	C	Control
16	1	24	0	C	Control
17	1	24	0	C	Control
18	1	24	0	C	Control
19	1	24	0	C	Control
20	1	24	0	C	Control
21	1	24	0	C	Control
22	1	24	0	C	Control
23	1	24	0	C	Control
24	1	24	0	C	Control
25	1	24	0	C	Control
26	1	24	0	C	Control
